FILE_INFO
ListSeparator=,
DecimalSeparator=.

SESSION_INFO
TimeZone,UTC
TimeZoneOffset,0
DateTimeFormat,nnnnnnnnnnnnnnnnnnn
StartTime,01/01/70 00:00:00.000000000
TimeFormat,Unix

DEVICE_INFO
Address,*

CHANNEL_INFO
Channel,Type,SampleRate,Equation,Coefficients,Unit,UnitSymbol,WhereApplied,WhenApplied
inertial-6286.188861:estAngularRateX,Timeseries,100Hz,,,,,,
inertial-6286.188861:estAngularRateX:valid,ValidFlag,100Hz,,,,,,
inertial-6286.188861:estAngularRateY,Timeseries,100Hz,,,,,,
inertial-6286.188861:estAngularRateY:valid,ValidFlag,100Hz,,,,,,
inertial-6286.188861:estAngularRateZ,Timeseries,100Hz,,,,,,
inertial-6286.188861:estAngularRateZ:valid,ValidFlag,100Hz,,,,,,
inertial-6286.188861:estLinearAccelX,Timeseries,100Hz,,,,,,
inertial-6286.188861:estLinearAccelX:valid,ValidFlag,100Hz,,,,,,
inertial-6286.188861:estLinearAccelY,Timeseries,100Hz,,,,,,
inertial-6286.188861:estLinearAccelY:valid,ValidFlag,100Hz,,,,,,
inertial-6286.188861:estLinearAccelZ,Timeseries,100Hz,,,,,,
inertial-6286.188861:estLinearAccelZ:valid,ValidFlag,100Hz,,,,,,

DATA_START
Time,inertial-6286.188861:estAngularRateX,inertial-6286.188861:estAngularRateX:valid,inertial-6286.188861:estAngularRateY,inertial-6286.188861:estAngularRateY:valid,inertial-6286.188861:estAngularRateZ,inertial-6286.188861:estAngularRateZ:valid,inertial-6286.188861:estLinearAccelX,inertial-6286.188861:estLinearAccelX:valid,inertial-6286.188861:estLinearAccelY,inertial-6286.188861:estLinearAccelY:valid,inertial-6286.188861:estLinearAccelZ,inertial-6286.188861:estLinearAccelZ:valid
1771621840762115584,0.009769393131136894,1,4.118039214517921e-05,1,0.07593462616205215,1,0.02418544702231884,1,0.1203212961554527,1,0.01261144876480103,1
1771621840771545344,0.007350943051278591,1,0.00178809545468539,1,0.09207116067409515,1,0.01334461569786072,1,0.06325902044773102,1,0.06251142919063568,1
1771621840781025792,0.002758800750598311,1,0.000502027862239629,1,0.07775568962097168,1,-0.009154596365988255,1,0.01994124241173267,1,0.06325890123844147,1
1771621840791686400,-0.002165910555049777,1,-0.0004512317827902734,1,0.0811174139380455,1,0.0001293154200538993,1,-0.03112084977328777,1,0.04863275587558746,1
1771621840802241280,-0.01653259061276913,1,1.445504040020751e-05,1,0.1002145558595657,1,0.05141808837652206,1,0.1098605766892433,1,0.02844688110053539,1
1771621840812692992,-0.000950588088016957,1,0.001095627318136394,1,0.11060631275177,1,-0.002810809062793851,1,0.006468879990279675,1,0.03926829248666763,1
1771621840823043328,-0.0005815458716824651,1,0.002348129171878099,1,0.1237568408250809,1,0.03181109204888344,1,0.08200467377901077,1,0.04326668381690979,1
1771621840833291008,0.001497593126259744,1,0.0002858538646250963,1,0.1318531930446625,1,-0.002011419972404838,1,0.04198299720883369,1,0.02064872160553932,1
1771621840843437312,0.003232040908187628,1,0.0001121102759498172,1,0.1239661350846291,1,0.03134856373071671,1,0.09014014899730682,1,0.009589198976755142,1
1771621840853484800,0.01798858679831028,1,0.001914149965159595,1,0.115986630320549,1,-0.002297363942489028,1,0.01738898083567619,1,0.01914231106638908,1
1771621840863431936,0.0295092836022377,1,-5.918405440752394e-05,1,0.08810805529356003,1,-0.0578029565513134,1,-0.02449736557900906,1,-0.001538693904876709,1
1771621840873281536,0.04606294259428978,1,0.0004056170582771301,1,0.05228789895772934,1,-0.08987829834222794,1,-0.07473811507225037,1,-0.01847958192229271,1
1771621840883034368,0.05769055336713791,1,-0.0008487420273013413,1,0.009914597496390343,1,-0.0684235692024231,1,-0.09497386962175369,1,0.04322189465165138,1
1771621840892690432,0.04678582400083542,1,-2.223715091531631e-05,1,-0.0004650919872801751,1,0.009121371433138847,1,-0.01660393364727497,1,0.08682209998369217,1
1771621840902256896,0.01890010759234428,1,0.0001203033825731836,1,0.0001341826573479921,1,0.009669054299592972,1,-0.07085273414850235,1,0.1432570964097977,1
1771621840911728896,-0.02816509082913399,1,0.001715492340736091,1,-0.0001409251417499036,1,-0.00832066684961319,1,-0.1019137352705002,1,0.1484685391187668,1
1771621840921106688,-0.07787425816059113,1,-0.0009500965825282037,1,-0.003838291391730309,1,-0.03355726599693298,1,-0.09490621834993362,1,0.1713851690292358,1
1771621840931256064,-0.1372611820697784,1,-0.003300859592854977,1,-0.0380050390958786,1,-0.1637976169586182,1,0.1042576283216476,1,0.0963444709777832,1
1771621840941879040,-0.009913846850395203,1,0.004222435411065817,1,-0.01478423364460468,1,-0.09987273067235947,1,0.3444370627403259,1,-0.1652092933654785,1
1771621840952398592,-0.1035449504852295,1,0.04649388790130615,1,-0.06190259754657745,1,-0.4253076016902924,1,-0.07128868252038956,1,0.1070886701345444,1
1771621840962814464,-0.1684918105602264,1,0.07270599156618118,1,-0.06996448338031769,1,-0.06751924753189087,1,-0.2391605973243713,1,0.07418780028820038,1
1771621840973131264,-0.03958981484174728,1,0.01183507591485977,1,-0.03642404824495316,1,0.6843854188919067,1,0.399275153875351,1,0.109250120818615,1
1771621840983345664,-0.006276108790189028,1,0.001283470774069428,1,-0.02388870529830456,1,-0.05979819968342781,1,0.08328921347856522,1,0.03459898754954338,1
1771621840993459200,-0.09524683654308319,1,0.003519583959132433,1,-0.05221144482493401,1,-0.01703028753399849,1,-0.1927465945482254,1,-0.1013471186161041,1
1771621841003473408,-0.06629908084869385,1,0.002101533114910126,1,-0.03885483369231224,1,0.1249255612492561,1,0.07000555843114853,1,0.1326225697994232,1
1771621841013387520,-0.08376982808113098,1,0.001253763795830309,1,-0.01664409786462784,1,0.04446255415678024,1,-0.1906671673059464,1,-0.1114528924226761,1
1771621841023205120,-0.1930104643106461,1,0.002458860166370869,1,-0.0372602604329586,1,-0.1031210944056511,1,-0.1377595514059067,1,-0.1646919101476669,1
1771621841032925696,-0.1681523472070694,1,0.004747752565890551,1,-0.05495134368538857,1,0.07846643775701523,1,0.2616630494594574,1,0.2779743373394012,1
1771621841042550528,-0.06770666688680649,1,0.003162522567436099,1,-0.02179532125592232,1,0.05187270045280457,1,0.2408641427755356,1,0.215642899274826,1
1771621841052085760,0.004531077109277248,1,-0.0006001625442877412,1,-0.002105383668094873,1,0.02781235612928867,1,0.2163750231266022,1,0.185787171125412,1
1771621841061531648,0.0314062274992466,1,-0.00119459256529808,1,0.001997111365199089,1,-0.0005048223538324237,1,0.0128261037170887,1,0.02906954288482666,1
1771621841071027456,0.01805279403924942,1,-0.0005890657776035368,1,0.0007689471822232008,1,0.008055504411458969,1,-0.01193228363990784,1,0.0005567072657868266,1
1771621841081710592,0.005204322747886181,1,0.00078843958908692,1,-0.0003937500296160579,1,0.01528844051063061,1,0.01042485516518354,1,0.01668594218790531,1
1771621841092291328,-0.002001913962885737,1,-0.0007728046621195972,1,-0.0001663999719312415,1,0.01056952122598886,1,0.02096219919621944,1,0.03320649266242981,1
1771621841102767616,0.002555105136707425,1,-0.001854821806773543,1,0.0001167134760180488,1,0.0001102500609704293,1,0.05399326607584953,1,0.06709960848093033,1
1771621841113140736,0.01268482580780983,1,-1.155829431809252e-05,1,-0.00173207966145128,1,0.007820424623787403,1,0.03980744257569313,1,0.05058291554450989,1
1771621841123411456,0.02452881075441837,1,-0.001339833717793226,1,-0.05807031691074371,1,-0.02838915772736073,1,-0.191189631819725,1,0.00242370180785656,1
1771621841133582080,0.01194613892585039,1,-0.001511095673777163,1,-0.08630768954753876,1,0.1149314343929291,1,-0.03633731976151466,1,0.0403958261013031,1
