Time,inertial-6286.188861:estAngularRateX,inertial-6286.188861:estAngularRateX:valid,inertial-6286.188861:estAngularRateY,inertial-6286.188861:estAngularRateY:valid,inertial-6286.188861:estAngularRateZ,inertial-6286.188861:estAngularRateZ:valid,inertial-6286.188861:estLinearAccelX,inertial-6286.188861:estLinearAccelX:valid,inertial-6286.188861:estLinearAccelY,inertial-6286.188861:estLinearAccelY:valid,inertial-6286.188861:estLinearAccelZ,inertial-6286.188861:estLinearAccelZ:valid
1771622130451376384,0.00158227642532438,1,0.0006542979972437024,1,-0.0001640521222725511,1,0.003815806703642011,1,0.03143642470240593,1,0.06112328916788101,1
1771622130461423872,0.004585606511682272,1,-0.0008652415126562119,1,0.0005890510510653257,1,0.005611388478428125,1,0.01771142147481441,1,0.05666134878993034,1
1771622130471371776,0.01012938376516104,1,-0.001447466551326215,1,-0.0001276555703952909,1,0.006300545297563076,1,0.03627120703458786,1,0.06114707887172699,1
1771622130481222400,0.01300596166402102,1,-0.0007763838511891663,1,0.0003106901422142982,1,0.004410807508975267,1,0.005835287272930145,1,0.03482621163129807,1
1771622130490975232,0.01090882066637278,1,-0.00030430470360443,1,-0.0001720968866720796,1,-0.007199298124760389,1,0.02042248658835888,1,0.04261504858732224,1
1771622130500632320,0.00271515385247767,1,-8.245951903518289e-05,1,-0.0007091112202033401,1,-0.01251040026545525,1,-0.04445570334792137,1,-0.01304731052368879,1
1771622130510194176,0.0004827999218832701,1,4.496759356698021e-05,1,0.0002588862553238869,1,-0.00894483644515276,1,0.008858633227646351,1,0.04771173372864723,1
1771622130519661056,0.003625375451520085,1,0.0001168701273854822,1,-0.0002147970953956246,1,-0.009434645995497704,1,-0.01485681999474764,1,0.05344199016690254,1
1771622130529035008,0.0006458864663727582,1,-0.001431964454241097,1,-0.0005502512212842703,1,-0.0001422221539542079,1,0.006427526939660311,1,0.04468774050474167,1
1771622130539182336,0.00072843162342906,1,0.000576670456212014,1,0.0003734594210982323,1,-0.000837712490465492,1,-0.0006119234603829682,1,0.02467089518904686,1
1771622130549805312,-0.0008880969253368676,1,0.001529277651570737,1,0.0001824825158109888,1,-0.006983993109315634,1,0.01045029517263174,1,0.04740855470299721,1
1771622130560324096,0.001529575325548649,1,-0.0002458110975567251,1,-0.0004349332302808762,1,-0.002587818773463368,1,0.01407341752201319,1,0.02819971926510334,1
1771622130570739200,0.001909869373776019,1,0.0005573085509240627,1,0.001403232454322278,1,2.85191199509427e-05,1,0.001502358936704695,1,0.0425829291343689,1
1771622130581052672,0.001744415261782706,1,-0.0002251119731226936,1,-0.0003187439870089293,1,0.004073833581060171,1,0.01189789455384016,1,0.02668788470327854,1
1771622130591267840,0.0005584445898421109,1,0.0005764723173342645,1,0.0002559724962338805,1,-0.001497785793617368,1,0.009918186813592911,1,0.04740544781088829,1
1771622130601382400,0.0009882311569526792,1,0.001303702243603766,1,-9.344379213871434e-05,1,0.004714602138847113,1,0.000620605715084821,1,0.04621592909097672,1
1771622130611397632,-0.0007624413701705635,1,-0.0005363262025639415,1,-0.0008030699100345373,1,-0.00386732374317944,1,0.0114342337474227,1,0.04350860789418221,1
1771622130621314560,0.000445708428742364,1,-0.000335696735419333,1,0.001454020384699106,1,-0.003114172490313649,1,0.005155961494892836,1,0.02853588946163654,1
1771622130631134976,-0.0007409777026623487,1,-0.0009678806527517736,1,3.608164115576074e-05,1,1.906238139781635e-05,1,0.00573760736733675,1,0.05042297020554543,1
1771622130640858112,-0.001002924633212388,1,-0.0006562131457030773,1,0.0008859281660988927,1,-0.004801749717444181,1,0.01132896542549133,1,0.03962930291891098,1
1771622130650486784,0.0002904961002059281,1,0.0005552936927415431,1,0.0002520880661904812,1,-0.006327206268906593,1,0.0136154480278492,1,0.04205649346113205,1
1771622130660019968,0.0006457916460931301,1,7.4026633228641e-05,1,-0.0004715281538665295,1,-0.003982561640441418,1,0.01332282647490501,1,0.04231389611959457,1
1771622130669458176,0.0002095107920467854,1,-0.0007395810098387301,1,0.0001091301601263694,1,0.000527966592926532,1,0.003779949154704809,1,0.03540349006652832,1
1771622130678947072,-0.000629964517429471,1,0.000386235915357247,1,0.0007207844173535705,1,-0.001302535529248416,1,0.007626362610608339,1,0.03661175072193146,1
1771622130689628928,-6.277811917243525e-05,1,0.0006101993494667113,1,-8.325489034177735e-05,1,-0.005805396474897861,1,0.00661923736333847,1,0.03182203695178032,1
1771622130700205312,0.0002700674813240767,1,0.0003873493114951998,1,-0.001880296040326357,1,-0.00213985238224268,1,0.01461817696690559,1,0.04560070484876633,1
1771622130710679296,-0.0005443384870886803,1,-0.001055719796568155,1,0.0004497747868299484,1,0.008571146987378597,1,0.01459625735878944,1,0.03802775219082832,1
1771622130721049856,-0.0008851616294123232,1,0.0002320409403182566,1,4.15969334426336e-05,1,-0.003413969883695245,1,0.009727032855153084,1,0.03903094679117203,1
