Time,inertial-6286.188861:estLinearAccelX,inertial-6286.188861:estLinearAccelX:valid,inertial-6286.188861:estLinearAccelY,inertial-6286.188861:estLinearAccelY:valid,inertial-6286.188861:estLinearAccelZ,inertial-6286.188861:estLinearAccelZ:valid,inertial-6286.188861:estAngularRateX,inertial-6286.188861:estAngularRateX:valid,inertial-6286.188861:estAngularRateY,inertial-6286.188861:estAngularRateY:valid,inertial-6286.188861:estAngularRateZ,inertial-6286.188861:estAngularRateZ:valid
1772485620658900224,0.0001867680111899972,1,0.003231669310480356,1,-0.04124683886766434,1,-0.001130448887124658,1,-0.0009099860908463597,1,0.0001741464948281646,1
1772485620669614336,-0.0005000685923732817,1,-7.902621291577816e-05,1,-0.05333535000681877,1,0.0009553557028993964,1,-0.0006260945810936391,1,4.127907595830038e-05,1
1772485620680224256,-0.006569370627403259,1,-0.01035533752292395,1,-0.04809692874550819,1,0.002937581157311797,1,-0.0002711163251660764,1,-3.170973650412634e-05,1
1772485620690732288,-0.01465705782175064,1,0.001652033533900976,1,-0.02898821979761124,1,0.004779418464750051,1,0.000314989301841706,1,0.0001272933295695111,1
1772485620701137664,-0.01687441766262054,1,0.003645786782726645,1,-0.004417107440531254,1,0.00584409711882472,1,0.0007419615867547691,1,-3.246535561629571e-05,1
1772485620711441664,-0.01965248212218285,1,0.004989315290004015,1,0.04599007219076157,1,0.006158084142953157,1,0.001070190221071243,1,-0.0002881866530515254,1
1772485620721645824,-0.01668058149516582,1,-0.002666380954906344,1,0.08373191952705383,1,0.005241130013018847,1,0.0009413104271516204,1,-0.0003859805292449892,1
1772485620731749632,-0.009530416689813137,1,-0.007686242461204529,1,0.08253838866949081,1,0.004735890775918961,1,0.001045139157213271,1,-0.0004524104588199407,1
1772485620741754624,-0.001828511478379369,1,-0.008182497695088387,1,0.09712254256010056,1,0.002968500135466456,1,0.001293554087169468,1,-0.000271967553999275,1
1772485620751673088,0.005928512196987867,1,-0.004889778792858124,1,0.1095773130655289,1,0.001542301964946091,1,0.001292726257815957,1,-0.0001066049881046638,1
1772485620761498880,0.01523742917925119,1,-0.008708084933459759,1,0.1282286792993546,1,-0.0001266043691430241,1,0.001300375792197883,1,-3.512334660626948e-05,1
1772485620771230208,0.01492899749428034,1,-0.001422268454916775,1,0.1131827607750893,1,-0.001816209987737238,1,0.0008289071265608072,1,-0.0001192111958516762,1
1772485620780868096,0.01387113146483898,1,-0.003701245412230492,1,0.08823910355567932,1,-0.003096098080277443,1,0.0004206701705697924,1,3.109608951490372e-05,1
1772485620790411776,0.006620443426072598,1,-0.01116884406656027,1,0.04002772271633148,1,-0.003651992883533239,1,-5.330797284841537e-05,1,-0.0001891575375339016,1
1772485620799863040,-0.002130960347130895,1,-0.006558760069310665,1,0.04353835061192513,1,-0.00307986349798739,1,0.0001517513010185212,1,2.277641760883853e-05,1
1772485620809222656,-0.001504437648691237,1,-0.00738846231251955,1,0.04374299570918083,1,-0.002739428076893091,1,-0.0001827568048611283,1,6.834510713815689e-05,1
1772485620819097088,0.001027093851007521,1,-0.009993582963943481,1,0.03478569164872169,1,-0.002338955411687493,1,-0.0001548787840874866,1,0.0001534079056000337,1
1772485620829778432,0.001131333410739899,1,0.000267309311311692,1,0.02237819135189056,1,-0.002032099291682243,1,-0.00054159015417099,1,7.582636317238212e-05,1
1772485620840356864,0.003894273890182376,1,-0.0009960948955267668,1,0.005192607175558805,1,-0.001079691108316183,1,-0.0006594917504116893,1,-7.361539610428736e-05,1
1772485620850832384,0.005962061230093241,1,-0.003057491965591908,1,0.008815938606858253,1,-0.0008924294961616397,1,-0.0006600377382710576,1,5.602790679404279e-06,1
1772485620861209344,0.005270264577120543,1,-0.000380583165679127,1,0.01048812735825777,1,-0.0003100701433140785,1,-0.0006296906503848732,1,6.758681411156431e-05,1
1772485620871489792,-0.000176236848346889,1,-0.002646330278366804,1,-0.01536362618207932,1,0.001089729950763285,1,-0.0002725806261878461,1,3.733346238732338e-05,1
1772485620881670656,-0.008285488002002239,1,-0.0002316030440852046,1,-0.03284357488155365,1,0.002389182103797793,1,-9.54202187131159e-06,1,5.700902329408564e-05,1
1772485620891751936,-0.0154893770813942,1,0.004254179075360298,1,-0.01580354198813438,1,0.003884686622768641,1,0.0003360884438734502,1,0.0001103922331822105,1
1772485620901736192,-0.0165852140635252,1,-0.003516577649861574,1,0.01341679878532887,1,0.004929240792989731,1,0.0004781582392752171,1,0.0001837755989981815,1
1772485620911623424,-0.0143124321475625,1,-0.004189430270344019,1,0.03657464683055878,1,0.005538391880691051,1,0.001126626273617148,1,0.000192140752915293,1
1772485620921414144,-0.01335696969181299,1,0.001851479522883892,1,0.09137700498104095,1,0.004736278206110001,1,0.0007142978138290346,1,0.000137414361233823,1
1772485620931111680,-0.00686286436393857,1,-0.006225835531949997,1,0.1392240673303604,1,0.002705305814743042,1,0.0005363602540455759,1,2.78490551863797e-05,1
1772485620940714496,-0.007060667499899864,1,-0.01238346006721258,1,0.160518005490303,1,0.0001641854178160429,1,0.0006244404939934611,1,-0.0003341170377098024,1
1772485620950224128,-0.004963170271366835,1,0.001015211455523968,1,0.140693411231041,1,-0.002133178291842341,1,0.0003639450878836215,1,-0.0003488110669422895,1
1772485620959641344,-0.001760859275236726,1,-0.001900886418297887,1,0.1101237609982491,1,-0.003538876539096236,1,-0.000243067741394043,1,-0.0003463779867161065,1
1772485620968973056,0.006274855695664883,1,-0.01096498221158981,1,0.109967477619648,1,-0.005430479533970356,1,-0.0005316221504472196,1,-0.0002777610206976533,1
