FILE_INFO
ListSeparator=,
DecimalSeparator=.

SESSION_INFO
TimeZone,UTC
TimeZoneOffset,0
DateTimeFormat,nnnnnnnnnnnnnnnnnnn
StartTime,01/01/70 00:00:00.000000000
TimeFormat,Unix

DEVICE_INFO
Address,*

CHANNEL_INFO
Channel,Type,SampleRate,Equation,Coefficients,Unit,UnitSymbol,WhereApplied,WhenApplied
inertial-6286.188861:estAngularRateX,Timeseries,100Hz,,,,,,
inertial-6286.188861:estAngularRateX:valid,ValidFlag,100Hz,,,,,,
inertial-6286.188861:estAngularRateY,Timeseries,100Hz,,,,,,
inertial-6286.188861:estAngularRateY:valid,ValidFlag,100Hz,,,,,,
inertial-6286.188861:estAngularRateZ,Timeseries,100Hz,,,,,,
inertial-6286.188861:estAngularRateZ:valid,ValidFlag,100Hz,,,,,,

DATA_START
Time,inertial-6286.188861:estAngularRateX,inertial-6286.188861:estAngularRateX:valid,inertial-6286.188861:estAngularRateY,inertial-6286.188861:estAngularRateY:valid,inertial-6286.188861:estAngularRateZ,inertial-6286.188861:estAngularRateZ:valid
1771621247408368896,-0.0003655793552752584,1,0.0002082555292872712,1,8.738581527722999e-06,1
1771621247418599936,-6.183390360092744e-05,1,0.0004174902860540897,1,-0.000495283689815551,1
1771621247428730624,0.001897680340334773,1,0.0001606082223588601,1,0.001445437665097415,1
1771621247438765056,0.0002674220013432205,1,0.0004454050504136831,1,0.00046136011951603,1
1771621247448701184,0.001471216790378094,1,-0.0002428779844194651,1,-0.0001837440067902207,1
1771621247458540032,-0.0004422642523422837,1,0.0006276952335610986,1,-0.0009453259990550578,1
1771621247468283392,-0.003712437115609646,1,-0.0007691251230426133,1,-0.0002726663078647107,1
1771621247477930496,0.0008844853146001697,1,0.001627046032808721,1,-0.0008407030836679041,1
1771621247487491840,-0.001192007679492235,1,0.0008373438031412661,1,0.0008151766378432512,1
1771621247496961280,-0.00120000506285578,1,0.0007403419585898519,1,-0.001242901431396604,1
1771621247506338048,-0.001415060600265861,1,-0.001867171609774232,1,1.939120738825295e-05,1
1771621247516620288,-0.0007497323676943779,1,0.0008205886115320027,1,0.0003160018241032958,1
1771621247527227904,0.0001861826749518514,1,-0.0009788792813196778,1,0.0002845007402356714,1
1771621247537732096,-0.001257037278264761,1,-0.0008500532130710781,1,0.0002151421795133501,1
1771621247548132864,0.001115417690016329,1,1.347263059869874e-05,1,-0.0004140803648624569,1
1771621247558431744,-0.001239095698110759,1,8.811851876089349e-05,1,0.0008529860060662031,1
1771621247568629760,-0.001408213167451322,1,0.0006636356119997799,1,-0.0008710523834452033,1
1771621247578726912,0.001233668299391866,1,-0.000186177043360658,1,-0.0001057755798683502,1
1771621247588725760,-0.001655310625210404,1,0.001386076910421252,1,0.0003172825963702053,1
1771621247598629120,-0.0005708147073164582,1,0.0005463032284751534,1,0.000501053174957633,1
1771621247608435456,0.001435334095731378,1,-0.0001115353952627629,1,0.0004562198591884226,1
1771621247618145280,-0.00144939823076129,1,0.000471273873699829,1,-0.0003722075198311359,1
1771621247627760128,-0.0003439431602600962,1,-0.0009831145871430635,1,-0.0004491292056627572,1
1771621247637280256,-0.0008394223405048251,1,-0.0009208078845404088,1,0.0006688032881356776,1
1771621247646707968,0.0003201209183316678,1,-0.001134631573222578,1,3.849125278065912e-05,1
1771621247656185600,0.0001638012763578445,1,0.0001523662358522415,1,-0.001444717985577881,1
1771621247666842112,-0.0005489528994075954,1,0.00059759576106444,1,0.0001282613957300782,1
1771621247677394944,-0.0001778033329173923,1,-0.0002567223564255983,1,-0.0003409582132007927,1
1771621247687846400,-0.0009061798336915672,1,-0.0004583357367664576,1,0.001168628456071019,1
1771621247698195200,-0.001753324759192765,1,-0.001131402910687029,1,-0.0001677875698078424,1
1771621247708444928,0.0004898625193163753,1,-0.0004186606092844158,1,0.0002640949096530676,1
1771621247718594560,-0.0008649662486277521,1,0.001005430589430034,1,-0.0005156494444236159,1
1771621247728645120,-0.0002844755072146654,1,0.0001965441042557359,1,-2.57877582043875e-05,1
1771621247738599680,-7.826066575944424e-05,1,0.0004235169908497483,1,-0.0003008530766237527,1
1771621247748457728,0.001096167718060315,1,-0.001173697994090617,1,-0.0008743558428250253,1
1771621247758219520,0.0007348688086494803,1,1.280403921555262e-05,1,-0.0003037329006474465,1
