FILE_INFO
ListSeparator=,
DecimalSeparator=.

SESSION_INFO
TimeZone,UTC
TimeZoneOffset,0
DateTimeFormat,MM/DD/YY h:mm:ss.nnnnnnnnn
StartTime,01/01/70 00:00:00.000000000
TimeFormat,Standard

DEVICE_INFO
Address,*

CHANNEL_INFO
Channel,Type,SampleRate,Equation,Coefficients,Unit,UnitSymbol,WhereApplied,WhenApplied
inertial-6286.188861:timeInfo_deltaTime_estFilter,Timeseries,100Hz,,,,,,

DATA_START
Time,inertial-6286.188861:timeInfo_deltaTime_estFilter
02/20/26 19:48:13.377061632,0.01
02/20/26 19:48:13.387039744,0.01
02/20/26 19:48:13.397007872,0.01
02/20/26 19:48:13.406966016,0.01
02/20/26 19:48:13.416915200,0.01
02/20/26 19:48:13.426854400,0.01
02/20/26 19:48:13.436783616,0.01
02/20/26 19:48:13.446702848,0.01
02/20/26 19:48:13.456612608,0.01
02/20/26 19:48:13.466512640,0.01
02/20/26 19:48:13.476402688,0.01
02/20/26 19:48:13.486520064,0.01
02/20/26 19:48:13.496627456,0.01
02/20/26 19:48:13.506725120,0.01
02/20/26 19:48:13.516812544,0.01
02/20/26 19:48:13.526889984,0.01
02/20/26 19:48:13.536957440,0.01
02/20/26 19:48:13.547014912,0.01
02/20/26 19:48:13.557062656,0.01
02/20/26 19:48:13.567100160,0.01
02/20/26 19:48:13.577127680,0.01
02/20/26 19:48:13.587145216,0.01
02/20/26 19:48:13.597152768,0.01
02/20/26 19:48:13.607150336,0.01
02/20/26 19:48:13.617138176,0.01
02/20/26 19:48:13.627115776,0.01
02/20/26 19:48:13.637083648,0.01
02/20/26 19:48:13.647041536,0.01
02/20/26 19:48:13.656989440,0.01
02/20/26 19:48:13.666927616,0.01
02/20/26 19:48:13.676855552,0.01
02/20/26 19:48:13.686774016,0.01
02/20/26 19:48:13.696682752,0.01
02/20/26 19:48:13.706581504,0.01
02/20/26 19:48:13.716470272,0.01
02/20/26 19:48:13.726587392,0.01
02/20/26 19:48:13.736694272,0.01
02/20/26 19:48:13.746791168,0.01
02/20/26 19:48:13.756878592,0.01
02/20/26 19:48:13.766956032,0.01
02/20/26 19:48:13.777023232,0.01
02/20/26 19:48:13.787080448,0.01
02/20/26 19:48:13.797127680,0.01
02/20/26 19:48:13.807164928,0.01
02/20/26 19:48:13.817192192,0.01
02/20/26 19:48:13.827209728,0.01
02/20/26 19:48:13.837217280,0.01
02/20/26 19:48:13.847214848,0.01
02/20/26 19:48:13.857202688,0.01
02/20/26 19:48:13.867180288,0.01
02/20/26 19:48:13.877148416,0.01
02/20/26 19:48:13.887106560,0.01
02/20/26 19:48:13.897054464,0.01
02/20/26 19:48:13.906992896,0.01
