Time,inertial-6286.188861:estLinearAccelX,inertial-6286.188861:estLinearAccelX:valid,inertial-6286.188861:estLinearAccelY,inertial-6286.188861:estLinearAccelY:valid,inertial-6286.188861:estLinearAccelZ,inertial-6286.188861:estLinearAccelZ:valid,inertial-6286.188861:estAngularRateX,inertial-6286.188861:estAngularRateX:valid,inertial-6286.188861:estAngularRateY,inertial-6286.188861:estAngularRateY:valid,inertial-6286.188861:estAngularRateZ,inertial-6286.188861:estAngularRateZ:valid
1773072703683354112,0.06070960313081741,1,-0.07120705395936966,1,-0.006363683380186558,1,0.006851010024547577,1,0.0006128292880021036,1,-0.000191826606169343,1
1773072703693897728,0.0200954508036375,1,-0.03803801909089088,1,0.06743723899126053,1,-0.00011101906420663,1,0.0003900403680745512,1,-0.0006110907415859401,1
1773072703704338432,-0.09457999467849731,1,0.007277051452547312,1,0.07112012803554535,1,-0.006265867035835981,1,-0.0009950941894203424,1,-0.0008297190070152283,1
1773072703714682624,-0.1198639646172523,1,0.03357759490609169,1,0.007867638021707535,1,-0.003179918974637985,1,-0.001028449041768909,1,-0.0002585058100521564,1
1773072703724926208,-0.01142880599945784,1,-0.008051606826484203,1,-0.01552746631205082,1,0.004078640602529049,1,-0.0001328659127466381,1,0.0002285724185639992,1
1773072703735068928,0.06691471487283707,1,-0.06324704736471176,1,0.02380561269819736,1,0.003261421341449022,1,0.0005203215405344963,1,-0.0003426109906286001,1
1773072703745112320,-0.001730639487504959,1,-0.01691510155797005,1,0.08714130520820618,1,-0.003427170217037201,1,0.0003368253528606147,1,-0.001113117788918316,1
1773072703755058688,-0.1218211054801941,1,0.04516930133104324,1,0.0971272736787796,1,-0.005631161388009787,1,-0.001274339505471289,1,-0.0006439326098188758,1
1773072703764906752,-0.1281726211309433,1,0.04575559124350548,1,0.0374995619058609,1,-0.0003045187913812697,1,-0.001757769845426083,1,-0.0002126053441315889,1
1773072703774659840,-0.02032999694347382,1,0.0003049843944609165,1,0.005045403260737658,1,0.006340512074530125,1,-0.0002698722528293729,1,0.0002616037963889539,1
1773072703784317952,0.05745606869459152,1,-0.05853687226772308,1,0.03532560169696808,1,0.003746853908523917,1,0.0001538798096589744,1,-0.0003736890794243664,1
1773072703793881600,-0.02501724287867546,1,-0.01942574977874756,1,0.05593075603246689,1,-0.004195356741547585,1,-0.0004330945666879416,1,-0.0009128507226705551,1
1773072703803351808,-0.1395419985055923,1,0.04271756112575531,1,0.05310917645692825,1,-0.006127537693828344,1,-0.0006897220737300813,1,-0.0006267398712225258,1
1773072703812728576,-0.1309625953435898,1,0.03496289253234863,1,0.02015691809356213,1,-0.0002488379832357168,1,-0.001317267306149006,1,9.789788600755855e-05,1
1773072703822029568,-0.02701773121953011,1,-0.01882254704833031,1,0.0109831839799881,1,0.005619744770228863,1,0.0005342578515410423,1,0.000179193404619582,1
1773072703832768512,0.04784752056002617,1,-0.05227779969573021,1,0.06199797242879868,1,0.00342813110910356,1,0.001242323080077767,1,-0.0005671434919349849,1
1773072703843404288,-0.04104835540056229,1,-0.01505140587687492,1,0.08196591585874557,1,-0.003862265963107347,1,7.83079449320212e-05,1,-0.001519057201221585,1
1773072703853936896,-0.1511474549770355,1,0.0452733114361763,1,0.05050662904977798,1,-0.004471499938517809,1,-0.0006645664689131081,1,-0.0006701339734718204,1
1773072703864369408,-0.123278982937336,1,0.03156094625592232,1,-0.008762173354625702,1,0.003130391472950578,1,-0.001381208305247128,1,0.0005083358846604824,1
1773072703874702080,-0.01869757473468781,1,-0.04062066227197647,1,-0.03374625742435455,1,0.009242591448128223,1,-2.549787313910201e-05,1,0.0003581095079425722,1
1773072703884933632,0.04314491525292397,1,-0.07379455864429474,1,0.02672746777534485,1,0.005971661768853664,1,0.001161645748652518,1,-0.0005295973387546837,1
1773072703895065600,-0.04028122872114182,1,-0.03829944133758545,1,0.07250341027975082,1,-0.003143667243421078,1,0.001160505111329257,1,-0.001074834493920207,1
1773072703905099008,-0.1324276179075241,1,0.01057772152125835,1,0.05581574887037277,1,-0.005808003712445498,1,0.000730522267986089,1,-0.0004127432475797832,1
1773072703915034112,-0.09452217817306519,1,0.008226476609706879,1,0.005599753465503454,1,0.0001069270074367523,1,0.00081141188275069,1,0.000177682057255879,1
1773072703924872448,0.005552763119339943,1,-0.0519336462020874,1,-0.0109742060303688,1,0.004766857251524925,1,0.001513005350716412,1,-2.26958145503886e-05,1
1773072703934616832,0.03691398352384567,1,-0.07207518815994263,1,0.03646815568208694,1,0.00257662171497941,1,0.0007687742472626269,1,-0.0004587833245750517,1
1773072703944265728,-0.05527825653553009,1,-0.02571103535592556,1,0.06334369629621506,1,-0.002965007210150361,1,-0.0002984373131766915,1,-0.0008248485974036157,1
1773072703953819648,-0.1432981342077255,1,0.01594973355531693,1,0.04139763861894608,1,-0.002089978195726871,1,-0.001169061637483537,1,-0.0004090879519935697,1
1773072703963292672,-0.07896058261394501,1,-0.01177112385630608,1,0.0023345488589257,1,0.004210631363093853,1,-0.0003370478516444564,1,0.0004029591218568385,1
1773072703972684032,0.05261630564928055,1,-0.07309864461421967,1,-0.002820382593199611,1,0.005161806475371122,1,0.001037574838846922,1,0.0002833826583810151,1
1773072703982134528,0.07605063170194626,1,-0.08132021874189377,1,0.03941626846790314,1,-0.001319858594797552,1,0.002308980794623494,1,-0.0006112351547926664,1
1773072703992840192,-0.03411505371332169,1,-0.01675703562796116,1,0.06517897546291351,1,-0.009313986636698246,1,0.00107176520396024,1,-0.0009035190450958908,1
1773072704003442688,-0.1346877962350845,1,0.03106702119112015,1,0.04222907871007919,1,-0.007287764456123114,1,-0.0003778176615014672,1,-0.0002954082447104156,1
1773072704013943808,-0.08403269201517105,1,0.001929988153278828,1,0.008173259906470776,1,0.002255825791507959,1,-0.0007322654710151255,1,0.0004607192822732031,1
1773072704024342016,0.03118161112070084,1,-0.0588635690510273,1,0.0243857130408287,1,0.006734352558851242,1,7.838576857466251e-05,1,5.962332215858623e-05,1
1773072704034638592,0.04377811774611473,1,-0.08333952724933624,1,0.07272773236036301,1,0.001894501503556967,1,7.541215018136427e-05,1,-0.000746820296626538,1
1773072704044835328,-0.05196794122457504,1,-0.02311738952994347,1,0.07480680197477341,1,-0.005556827876716852,1,-0.0006308612646535039,1,-0.001177110243588686,1
1773072704054931968,-0.1243311986327171,1,0.02241463214159012,1,0.01979321055114269,1,-0.005161304026842117,1,-0.001308830571360886,1,-0.0005450875614769757,1
1773072704064936960,-0.07155397534370422,1,0.003061973489820957,1,-0.03303147107362747,1,0.001273108879104257,1,-0.0005624137120321393,1,0.0001265994214918464,1
1773072704074849280,0.03553825244307518,1,-0.03725311160087585,1,-0.01404289621859789,1,0.004157511983066797,1,0.0006898923893459141,1,0.0001726259069982916,1
1773072704084665088,0.03791308403015137,1,-0.05483373627066612,1,0.04799086600542068,1,-0.0004508878337219357,1,0.0006121831829659641,1,-0.0006287113064900041,1
1773072704094384640,-0.06954548507928848,1,0.008116324432194233,1,0.06918609142303467,1,-0.00492853531613946,1,-0.0006326889269985259,1,-0.0008600883302278817,1
1773072704104011520,-0.137175515294075,1,0.04771183431148529,1,0.03973806649446487,1,-0.001061010058037937,1,-0.00118076940998435,1,-0.0002206311910413206,1
1773072704113543168,-0.08148530125617981,1,0.008851788938045502,1,-0.01122186612337828,1,0.006176209077239037,1,-0.0003226302505936474,1,0.0006627420661970973,1
1773072704122982144,0.03165842592716217,1,-0.04247837141156197,1,-0.01815073750913143,1,0.006857313681393862,1,0.001100294874049723,1,6.288004806265235e-05,1
1773072704132330496,0.03402450680732727,1,-0.05961504951119423,1,0.02365502156317234,1,-0.0001764940097928047,1,0.001298609655350447,1,-0.0006103483028709888,1
1773072704142194944,-0.08171184360980988,1,-0.004030350595712662,1,0.05605693161487579,1,-0.006290432997047901,1,0.0006663947133347392,1,-0.0009574809810146689,1
1773072704152872192,-0.1474310904741287,1,0.03925105929374695,1,0.05268091708421707,1,-0.004549458157271147,1,0.0005247467779554427,1,-0.0004460436757653952,1
1773072704163449600,-0.0829596221446991,1,0.0004019704647362232,1,0.02196392975747585,1,0.00198421673849225,1,0.0004108246066607535,1,0.0002404983242740855,1
1773072704173928192,0.03427549451589584,1,-0.05086442828178406,1,0.02657035365700722,1,0.003905500750988722,1,0.00117430416867137,1,-0.0001035239911288954,1
1773072704184304384,0.03501337766647339,1,-0.0593169629573822,1,0.0634654313325882,1,-0.00122887222096324,1,-5.731169949285686e-05,1,-0.0007402072660624981,1
1773072704194579456,-0.09242863953113556,1,0.007114365231245756,1,0.06584082543849945,1,-0.005753377918154001,1,-0.001219648402184248,1,-0.0009336054790765047,1
1773072704204754944,-0.1587419062852859,1,0.04445147886872292,1,0.03421186655759811,1,-0.001919648726470768,1,-0.00106302450876683,1,-0.0002935760130640119,1
1773072704214831616,-0.0851043164730072,1,0.003585410304367542,1,-0.01114543527364731,1,0.005189829505980015,1,-0.0003691151505336165,1,0.0005660639144480228,1
1773072704224817920,0.04277445748448372,1,-0.04622130841016769,1,0.007179101463407278,1,0.006173193454742432,1,0.001475983182899654,1,-6.942994514247403e-05,1
1773072704234708480,0.04223676770925522,1,-0.05791431665420532,1,0.06359811127185822,1,-0.001291057327762246,1,0.001609182567335665,1,-0.0008938731043599546,1
