Time,inertial-6286.188861:deltaVelX,inertial-6286.188861:deltaVelY,inertial-6286.188861:deltaVelZ,inertial-6286.188861:deltaThetaX,inertial-6286.188861:deltaThetaY,inertial-6286.188861:deltaThetaZ
1773426542806444544,2.111441426677629e-05,-6.306819705059752e-05,-0.009958911687135696,-1.314534415541857e-06,3.074118467338849e-06,4.296971837902674e-06
1773426542816418816,1.614963002793957e-05,-7.513339369324967e-05,-0.009956134483218193,3.280008741057827e-06,1.724204366837512e-06,4.320917014410952e-06
1773426542826295552,2.013163430092391e-05,-6.858050619484857e-05,-0.009957979433238506,8.897031875676475e-06,-5.631822659779573e-06,8.045944014156703e-06
1773426542836075776,2.476487134117633e-05,-6.939060403965414e-05,-0.009965131059288979,-6.874262453493429e-06,3.293544295956963e-06,3.282911393398535e-06
1773426542846334464,2.496685556252487e-05,-6.943986954865977e-05,-0.009960684925317764,4.545521278487286e-06,-6.360983206832316e-07,-1.554372374812374e-06
1773426542856738560,2.736411624937318e-05,-6.880042201373726e-05,-0.009971576742827892,1.664966475800611e-06,-1.663711145738489e-06,4.835336767428089e-06
1773426542867041280,2.228992525488138e-05,-7.585743151139468e-05,-0.009963521733880043,-2.243319840999902e-06,-2.7640676307783e-06,6.230507096915971e-06
1773426542877246720,2.784641583275516e-05,-6.945718632778153e-05,-0.009960868395864964,-2.53467396760243e-06,8.722446409592521e-07,2.143857955161366e-06
1773426542887351808,2.189222868764773e-05,-6.878034037072212e-05,-0.00995822437107563,8.04163846623851e-07,-4.309888936404604e-06,2.226521246484481e-06
1773426542897358336,2.748550650721882e-05,-6.377079989761114e-05,-0.009962763637304306,-7.798730621288996e-06,1.229608869834919e-06,6.069637038308429e-06
1773426542907266816,2.422303259663749e-05,-5.957351459073834e-05,-0.009965255856513977,2.797997240122641e-06,7.103992629708955e-07,1.903111069623264e-06
1773426542917079296,2.397157004452311e-05,-6.817523535573855e-05,-0.00996103510260582,1.603381292625272e-06,3.750141104319482e-06,7.936830115795601e-06
1773426542926878720,2.576418955868576e-05,-6.728169682901353e-05,-0.009958496317267418,-4.681389782490442e-06,-7.066506896080682e-06,-1.186059307656251e-06
1773426542937335552,2.267745549033862e-05,-6.933495751582086e-05,-0.009954930283129215,-1.892332420538878e-06,-5.668466656061355e-06,4.538224402494961e-06
1773426542947694080,2.270004006277304e-05,-6.591517740162089e-05,-0.009959680959582329,6.740188382536871e-06,-5.776765192422317e-06,1.358205850010563e-06
1773426542957953280,1.957588938239496e-05,-6.606616807403043e-05,-0.009962422773241997,1.538149263069499e-06,-9.049730579135939e-06,2.638248133735033e-06
1773426542968113664,2.363205021538306e-05,-6.91465538693592e-05,-0.00996757298707962,2.929388756456319e-06,-7.3933420026151e-06,2.171230335079599e-06
1773426542978183168,2.566055263741873e-05,-6.648440466960892e-05,-0.009965157136321068,-2.489562575647142e-06,-3.859123808069853e-06,3.606297241276479e-06
1773426542988161536,2.497579043847509e-05,-6.798432150389999e-05,-0.009954228065907955,-2.702163783396827e-06,3.384628826097469e-07,2.068102958219242e-06
1773426542998045952,2.243383823952172e-05,-7.128067954909056e-05,-0.009961602278053761,7.355943125730846e-07,-1.586508915352169e-06,2.958381855933112e-06
1773426543007845120,2.142458288290072e-05,-6.839472916908562e-05,-0.009953033179044724,-1.089210036298027e-05,-2.526017851778306e-06,-1.308031414737343e-06
1773426543018112256,2.754380693659186e-05,-6.609609408769757e-05,-0.009960344061255455,-2.059344524241169e-06,4.993339189240942e-06,3.9125532680373e-07
1773426543028523008,2.346395922359079e-05,-7.434895815094933e-05,-0.009968788363039494,4.30885029345518e-06,3.334140217248205e-07,1.873197220447764e-06
1773426543038838272,2.475477958796546e-05,-6.818502151872963e-05,-0.009965476579964161,-6.602170969927101e-07,7.032738267298555e-07,4.54355955525898e-07
1773426543049056512,2.548460543039255e-05,-7.516785990446806e-05,-0.009962419979274273,-2.845628159775515e-06,-2.497411060176091e-06,-9.309574124927167e-07
1773426543059175424,2.588950519566424e-05,-7.167986041167751e-05,-0.009955506771802902,-1.024450853037706e-06,5.939860329817748e-06,6.372467396431603e-06
1773426543069206784,2.79850464721676e-05,-6.648563430644572e-05,-0.009961678646504879,-1.019043679661991e-06,9.836039680521935e-07,2.358475740038557e-06
1773426543079142912,2.335294630029239e-05,-7.220246334327385e-05,-0.009957017377018929,-3.401279613512997e-08,-3.700376964843599e-06,5.345043973647989e-06
1773426543088984576,2.609908187878318e-05,-6.495659181382507e-05,-0.009965775534510612,-3.607035296226968e-06,1.519313968856295e-06,-1.084073687707132e-06
1773426543098814720,2.390982444921974e-05,-7.435020233970135e-05,-0.009961501695215702,3.691924803206348e-06,1.478111499864099e-07,6.073306849430082e-06
1773426543109274624,2.233987834188156e-05,-7.075306348269805e-05,-0.0099641103297472,-3.736152621058864e-06,-4.773485670739319e-06,1.32730667701253e-06
1773426543119636224,2.571896220615599e-05,-7.494945748476312e-05,-0.00995329488068819,-1.383864037052263e-05,-6.893207569191873e-07,2.488624886609614e-06
1773426543129900544,2.085378946503624e-05,-7.701520371483639e-05,-0.009948087856173515,-1.066866479959572e-05,-2.43130125454627e-06,1.346326030216005e-06
1773426543140071424,2.326972753508016e-05,-6.308136653387919e-05,-0.009964989498257637,-2.008971569011919e-05,3.987075160694076e-06,9.911354936775751e-07
1773426543150142464,2.245451651106123e-05,-7.142567483242601e-05,-0.009964786469936371,-2.108717308146879e-05,6.270737230806844e-06,9.162561696030025e-07
1773426543160116224,2.291246710228734e-05,-6.251547165447846e-05,-0.009966205805540085,-2.021715408773161e-05,4.065286248078337e-06,-6.894886723785021e-07
1773426543169993728,2.387010499660391e-05,-6.880040018586442e-05,-0.009963396936655045,-1.024963967211079e-05,2.543672735555447e-06,3.748313474716269e-06
1773426543179774464,2.490965925971977e-05,-6.70406807330437e-05,-0.009955568239092827,-1.199234338855604e-05,2.638775640662061e-06,-2.988117103086552e-06
1773426543189955072,2.473348649800755e-05,-7.81034177634865e-05,-0.00996087584644556,-4.148656898905756e-06,1.198931613544119e-06,4.493128471949603e-06
1773426543200368384,3.050297709705774e-05,-6.099851816543378e-05,-0.00996820442378521,2.083987601508852e-05,-3.506223492877325e-06,7.208083388832165e-06
1773426543210684672,2.622671672725119e-05,-6.516163557535037e-05,-0.009959773160517216,-6.573001883225515e-06,5.031467935623368e-06,4.077089215570595e-06
