Time,inertial-6286.188861:deltaVelX,inertial-6286.188861:deltaVelY,inertial-6286.188861:deltaVelZ,inertial-6286.188861:deltaThetaX,inertial-6286.188861:deltaThetaY,inertial-6286.188861:deltaThetaZ
1773427747689390592,2.507373028493021e-05,-0.0003417590924073011,-0.09958963096141815,1.91515628102934e-05,-2.160354597435798e-05,2.080904778267723e-05
1773427747789371392,3.667866985779256e-05,-0.0003319290699437261,-0.09960354119539261,4.105385232833214e-05,-2.033266355283558e-05,1.600147334102076e-05
1773427747889351936,1.364991840091534e-05,-0.0003561030025593936,-0.09960965812206268,7.591278063046047e-06,8.58245311974315e-06,7.089674909366295e-06
1773427747989332736,2.469839455443434e-05,-0.0003344565047882497,-0.09959504753351212,6.564548584719887e-06,-2.632783980516251e-05,5.130153567733942e-06
1773427748089313280,3.868855856126174e-05,-0.000357785786036402,-0.09961630403995514,3.438101339270361e-05,9.883159691526089e-06,2.799914727802388e-05
1773427748189293824,-0.003104191971942782,0.001331557985395193,-0.09970112890005112,0.0003543588100001216,1.101387533708476e-05,0.01434637326747179
1773427748289274368,0.003161353524774313,-0.002031583338975906,-0.09953217208385468,0.003974010236561298,-0.001827521482482553,0.0005914322682656348
1773427748389254912,-9.655819303588942e-05,-0.00130405742675066,-0.09958858788013458,-0.002152320928871632,0.000924039981327951,0.002252730308100581
1773427748489235712,-0.0001635899388929829,-4.175470530753955e-05,-0.09962960332632065,0.003254683455452323,-0.001388879842124879,-0.0006945580244064331
1773427748589216256,-0.002043690765276551,0.0001792296097846702,-0.1006048619747162,0.02647425606846809,-0.0003967489756178111,-0.004979399498552084
1773427748689197056,-0.007053710985928774,-0.005864840466529131,-0.09928524494171143,0.0371098481118679,-8.426487329415977e-05,0.0164497084915638
1773427748789177600,0.001223509549163282,-0.008252690546214581,-0.09743956476449966,0.004141790326684713,0.001396712963469326,0.02434245310723782
1773427748889158400,0.00402792589738965,-0.00682863499969244,-0.09943876415491104,-0.03939913958311081,0.00066721549956128,-0.00456256465986371
1773427748989138944,0.0008022667025215924,-0.004513826221227646,-0.1002915948629379,-0.03108012117445469,0.0006214791792444885,-0.03507469967007637
1773427749089119744,0.00156558386515826,0.001747271628119051,-0.09973400831222534,-0.002799514215439558,0.001066629425622523,-0.001769279595464468
1773427749189100288,-1.434431669622427e-05,-0.0002951266069430858,-0.09956569969654083,0.000176596426172182,-6.805200973758474e-05,4.567712949210545e-06
1773427749289080832,-1.695291030046064e-05,-0.0003237481869291514,-0.09961551427841187,1.859099825196608e-07,-2.494847831258085e-05,0.0008914239588193595
1773427749389061632,-1.862246244854759e-05,-0.0003427433257456869,-0.09960980713367462,2.807212877087295e-05,-2.64557729678927e-05,2.239944660686888e-05
1773427749489042176,-3.695389023050666e-05,-0.0003243342216592282,-0.09959997981786728,-2.453108891131706e-06,-2.431806387903634e-05,-3.530978347043856e-06
1773427749589022720,-5.817588316858746e-06,-0.0003248415305279195,-0.09959883987903595,2.626533841976197e-06,-3.177453618263826e-05,7.386090601357864e-06
1773427749689003264,-1.25242968351813e-05,-0.0003227143897674978,-0.09960487484931946,2.067989044007845e-05,-3.19582577503752e-05,1.129810880229343e-05
1773427749788984064,-3.486477908154484e-06,-0.000324703985825181,-0.09958606213331223,3.705185372382402e-05,-1.542453173897229e-05,1.307922138948925e-05
1773427749888964608,-6.526987817778718e-06,-0.0003403670561965555,-0.09960047155618668,2.567848241596948e-05,-2.87242692138534e-05,2.856681203411426e-05
1773427749988945408,-1.053797859640326e-05,-0.0003288745356258005,-0.09960590302944183,-3.302068762423005e-06,-1.426934159098892e-05,3.907672726199962e-05
1773427750088925952,-2.882354419853073e-05,-0.0003175180463586003,-0.09959211945533752,2.106149440805893e-05,-1.967357275134418e-05,1.675053499639034e-05
1773427750188906752,-7.800047569617163e-06,-0.0003228558343835175,-0.09957728534936905,2.916165794886183e-05,-3.013277819263749e-05,3.685017509269528e-05
1773427750288887808,-2.520343514333945e-05,-0.0003274929476901889,-0.09959165006875992,1.103003614844056e-05,-2.572083212726284e-05,2.824904549925122e-05
1773427750388868352,-9.131006663665175e-06,-0.0003138420288451016,-0.09961812943220139,-4.079375139554031e-05,1.129757833950862e-06,1.083850293071009e-05
1773427750488848896,-2.012965160247404e-05,-0.0003101708134636283,-0.09959334880113602,-1.610461731615942e-05,-3.560452023521066e-05,1.382598384225275e-05
