FILE_INFO
ListSeparator=,
DecimalSeparator=.

SESSION_INFO
TimeZone,UTC
TimeZoneOffset,0
DateTimeFormat,MM/DD/YY h:mm:ss.nnnnnnnnn
StartTime,01/01/70 00:00:00.000000000
TimeFormat,Relative

DEVICE_INFO
Address,*

CHANNEL_INFO
Channel,Type,SampleRate,Equation,Coefficients,Unit,UnitSymbol,WhereApplied,WhenApplied
inertial-6286.188861:scaledAccelX,Timeseries,200Hz,,,,,,
inertial-6286.188861:scaledAccelY,Timeseries,200Hz,,,,,,
inertial-6286.188861:scaledAccelZ,Timeseries,200Hz,,,,,,
inertial-6286.188861:deltaThetaX,Timeseries,200Hz,,,,,,
inertial-6286.188861:deltaThetaY,Timeseries,200Hz,,,,,,
inertial-6286.188861:deltaThetaZ,Timeseries,200Hz,,,,,,
inertial-6286.188861:deltaVelX,Timeseries,200Hz,,,,,,
inertial-6286.188861:deltaVelY,Timeseries,200Hz,,,,,,
inertial-6286.188861:deltaVelZ,Timeseries,200Hz,,,,,,
inertial-6286.188861:timeInfo_deltaTime_ahrsImu,Timeseries,200Hz,,,,,,
inertial-6286.188861:scaledMagX,Timeseries,200Hz,,,,,,
inertial-6286.188861:scaledMagY,Timeseries,200Hz,,,,,,
inertial-6286.188861:scaledMagZ,Timeseries,200Hz,,,,,,

DATA_START
Time,inertial-6286.188861:scaledAccelX,inertial-6286.188861:scaledAccelY,inertial-6286.188861:scaledAccelZ,inertial-6286.188861:deltaThetaX,inertial-6286.188861:deltaThetaY,inertial-6286.188861:deltaThetaZ,inertial-6286.188861:deltaVelX,inertial-6286.188861:deltaVelY,inertial-6286.188861:deltaVelZ,inertial-6286.188861:timeInfo_deltaTime_ahrsImu,inertial-6286.188861:scaledMagX,inertial-6286.188861:scaledMagY,inertial-6286.188861:scaledMagZ
0.000000000,0.003451872849836946,-0.005921470932662487,-0.9955559372901917,1.317271312473167e-06,-5.863821570528671e-07,-1.11600252239441e-06,1.728315874061082e-05,-3.117552842013538e-05,-0.004975663498044014,0.005,-0.001605425379239023,-0.3754863440990448,0.4946932196617126
0.005141760,0.003643502248451114,-0.00586546678096056,-0.9959280490875244,8.12992402643431e-06,7.3205328021686e-08,-1.80633008994846e-07,1.93011510418728e-05,-2.862960900529288e-05,-0.00498218135908246,0.005,-0.001221493585035205,-0.3757140934467316,0.4955658614635468
0.010259200,0.003840833669528365,-0.005941706243902445,-0.99582439661026,2.465219267833163e-06,3.965078121836996e-06,1.039159769788967e-06,1.998954758164473e-05,-2.99705243378412e-05,-0.004979089833796024,0.005,-0.001263767597265542,-0.3755278885364532,0.4961977899074554
0.015351296,0.003820179728791118,-0.006014548242092133,-0.9964969158172607,8.43382338189258e-07,-5.130558520249906e-07,1.091047124646138e-06,1.879828050732613e-05,-3.024211946467403e-05,-0.004985801875591278,0.005,-0.001298576476983726,-0.3755876421928406,0.4954032599925995
0.020422911,0.003644520882517099,-0.006218471098691225,-0.996239960193634,4.042815817228984e-06,-3.950024620280601e-06,3.022528005658387e-08,1.777915167622268e-05,-3.211537841707468e-05,-0.004980653990060091,0.005,-0.00121141888666898,-0.3760106563568115,0.4956026077270508
0.025469951,0.003452572273090482,-0.006441838108003139,-0.9958595037460327,-7.402811093015771e-07,2.33775745073217e-06,7.542284379269404e-07,1.607323065400124e-05,-3.372911305632442e-05,-0.004976118914783001,0.005,-0.001178246922791004,-0.3753138184547424,0.495696485042572
0.030492673,0.003719893749803305,-0.005923361517488956,-0.9961794018745422,5.567993071053934e-07,3.786767592828255e-07,-3.116206670483734e-08,2.027490154432599e-05,-2.634904012666084e-05,-0.004983159247785807,0.005,-0.001204181578941643,-0.3753661215305328,0.4956041276454926
0.035492353,0.003581492230296135,-0.006105985026806593,-0.9957555532455444,2.916919811468688e-06,-3.780808128794888e-07,3.02393146967006e-07,1.71592637343565e-05,-3.188358459738083e-05,-0.004976281896233559,0.005,-0.00112404057290405,-0.3756051063537598,0.4949855804443359
0.040467456,0.003623762866482139,-0.006121537648141384,-0.9963496327400208,-5.443467330223939e-07,2.871864126063883e-06,1.091855438062339e-06,1.820973557187244e-05,-3.094813655479811e-05,-0.004984954372048378,0.005,-0.001226405962370336,-0.3754100501537323,0.495329886674881
0.045419522,0.003624075558036566,-0.00631176121532917,-0.9962496161460876,3.780516863116645e-06,-1.753445417307375e-06,-2.186213805543957e-06,1.826124753279146e-05,-3.234068572055548e-05,-0.004981617908924818,0.005,-0.0008343157242052257,-0.3754484951496124,0.4954381883144379
