FILE_INFO
ListSeparator=,
DecimalSeparator=.

SESSION_INFO
TimeZone,UTC
TimeZoneOffset,0
DateTimeFormat,MM/DD/YY h:mm:ss.nnnnnnnnn
StartTime,03/17/26 00:56:20.981577728
TimeFormat,Relative

DEVICE_INFO
Address,*

CHANNEL_INFO
Channel,Type,SampleRate,Equation,Coefficients,Unit,UnitSymbol,WhereApplied,WhenApplied
inertial-6286.188861:orientQuaternion,Matrix,200Hz[1x4],,,,,,

DATA_START
Time,inertial-6286.188861:orientQuaternion[0-0],inertial-6286.188861:orientQuaternion[0-1],inertial-6286.188861:orientQuaternion[0-2],inertial-6286.188861:orientQuaternion[0-3]
0.000000000,0.999711,-0.002767,0.007121,0.022795
0.004894720,0.999711,-0.002766,0.007122,0.022795
0.009766400,0.999711,-0.002765,0.007122,0.022794
0.014613760,0.999711,-0.002765,0.007121,0.022793
0.019438336,0.999711,-0.002767,0.007122,0.022793
0.024239872,0.999711,-0.002766,0.007122,0.022795
0.029441793,0.999711,-0.002764,0.007124,0.022797
0.034619648,0.999711,-0.002764,0.007123,0.022799
0.039772417,0.999711,-0.002764,0.007120,0.022799
0.044900097,0.999711,-0.002765,0.007119,0.022799
0.050003201,0.999711,-0.002764,0.007120,0.022798
0.055082239,0.999711,-0.002765,0.007120,0.022800
0.060136959,0.999711,-0.002766,0.007122,0.022801
0.065170176,0.999711,-0.002763,0.007123,0.022802
0.070179328,0.999711,-0.002762,0.007123,0.022803
0.075164929,0.999711,-0.002763,0.007125,0.022804
0.080126718,0.999711,-0.002763,0.007125,0.022802
0.085063934,0.999711,-0.002761,0.007126,0.022802
0.089978367,0.999711,-0.002760,0.007126,0.022803
0.094869763,0.999711,-0.002762,0.007126,0.022803
0.099737085,0.999711,-0.002760,0.007128,0.022803
0.104581378,0.999711,-0.002760,0.007128,0.022803
0.109401859,0.999711,-0.002762,0.007129,0.022804
0.114283517,0.999711,-0.002763,0.007130,0.022803
0.119477756,0.999711,-0.002764,0.007132,0.022805
0.124647677,0.999711,-0.002763,0.007132,0.022806
0.129793286,0.999711,-0.002761,0.007130,0.022806
0.134913787,0.999711,-0.002761,0.007130,0.022808
0.140011266,0.999711,-0.002764,0.007130,0.022807
0.145084679,0.999711,-0.002763,0.007132,0.022806
0.150132999,0.999711,-0.002764,0.007129,0.022806
0.155157506,0.999711,-0.002765,0.007131,0.022806
0.160158470,0.999711,-0.002764,0.007131,0.022805
0.165134847,0.999711,-0.002765,0.007131,0.022804
0.170087174,0.999711,-0.002765,0.007132,0.022804
0.175016195,0.999711,-0.002763,0.007133,0.022805
0.179920897,0.999711,-0.002762,0.007131,0.022806
0.184802055,0.999711,-0.002758,0.007131,0.022807
0.189659908,0.999711,-0.002757,0.007131,0.022806
0.194495484,0.999711,-0.002757,0.007131,0.022805
0.199307770,0.999711,-0.002756,0.007128,0.022803
0.204266757,0.999711,-0.002755,0.007127,0.022804
0.209455356,0.999711,-0.002754,0.007126,0.022804
0.214619398,0.999711,-0.002755,0.007127,0.022804
0.219757572,0.999711,-0.002753,0.007125,0.022804
0.224871427,0.999711,-0.002753,0.007125,0.022804
0.229960710,0.999711,-0.002752,0.007125,0.022805
0.235027194,0.999711,-0.002753,0.007123,0.022805
0.240069121,0.999711,-0.002750,0.007121,0.022806
0.245086715,0.999711,-0.002748,0.007122,0.022807
0.250084877,0.999711,-0.002748,0.007121,0.022808
0.255058944,0.999711,-0.002748,0.007123,0.022810
0.260009736,0.999711,-0.002749,0.007126,0.022809
0.264936447,0.999711,-0.002749,0.007126,0.022808
0.269839108,0.999711,-0.002747,0.007127,0.022808
0.274718463,0.999711,-0.002747,0.007126,0.022808
0.279574782,0.999711,-0.002743,0.007125,0.022808
0.284407049,0.999711,-0.002743,0.007125,0.022807
0.289216518,0.999711,-0.002744,0.007125,0.022808
0.294422269,0.999711,-0.002742,0.007126,0.022810
0.299603701,0.999711,-0.002743,0.007125,0.022811
0.304759562,0.999711,-0.002744,0.007128,0.022810
0.309890062,0.999711,-0.002746,0.007131,0.022810
