Time,inertial-6286.188861:timeInfo_deltaTime_ahrsImu,inertial-6286.188861:scaledAccelY,inertial-6286.188861:scaledAccelX,inertial-6286.188861:scaledAccelZ,inertial-6286.188861:deltaVelX,inertial-6286.188861:deltaVelY,inertial-6286.188861:deltaVelZ,inertial-6286.188861:deltaThetaX,inertial-6286.188861:deltaThetaY,inertial-6286.188861:deltaThetaZ,inertial-6286.188861:estLinearAccelX,inertial-6286.188861:estLinearAccelX:valid,inertial-6286.188861:estLinearAccelY,inertial-6286.188861:estLinearAccelY:valid,inertial-6286.188861:estLinearAccelZ,inertial-6286.188861:estLinearAccelZ:valid
0.000000000,0.005,-0.002944009378552437,-0.01937773451209068,-0.9958348274230957,-9.775203216122463e-05,-1.26192990137497e-05,-0.004977412056177855,1.445722887183365e-06,-2.038374759649741e-06,-1.274725832445256e-06,,,,,,
0.001532160,,,,,,,,,,,0.007648032158613205,1,0.006311153993010521,1,0.03879038244485855,1
0.004990976,0.005,-0.003005670150741935,-0.01946618221700191,-0.9955370426177979,-9.801833220990375e-05,-1.542923200759105e-05,-0.004975780844688416,5.375542855290405e-07,5.575146815317567e-07,-5.56882605451392e-06,,,,,,
0.006527232,,,,,,,,,,,0.006787270773202181,1,0.005719519220292568,1,0.04171087220311165,1
0.009958656,0.005,-0.003031677799299359,-0.01952630281448364,-0.9953445196151733,-9.823126310948282e-05,-1.534561306471005e-05,-0.004975453019142151,3.173663287725503e-07,4.483839802560396e-06,-5.257923589851998e-07,,,,,,
0.011517184,,,,,,,,,,,0.006181319709867239,1,0.005476734600961208,1,0.04359886050224304,1
0.014901504,0.005,-0.002940044505521655,-0.01984960399568081,-0.9955580234527588,-0.0001012466382235289,-1.403520036546979e-05,-0.004979165270924568,-5.952336778136669e-06,-5.661076102114748e-06,-8.871944032762258e-07,,,,,,
0.016502528,,,,,,,,,,,0.003010020824149251,1,0.006368968170136213,1,0.04150549322366714,1
0.019820800,0.005,-0.003010079963132739,-0.02008635364472866,-0.9959750175476074,-0.0001018939146888442,-1.568611332913861e-05,-0.004982479847967625,-1.817676320570172e-06,6.23030359747645e-07,-4.932787760481006e-07,,,,,,
0.021482753,,,,,,,,,,,0.0006948138470761478,1,0.005668145604431629,1,0.03741512447595596,1
0.024716288,0.005,-0.002955668605864048,-0.02034434676170349,-0.9958731532096863,-0.0001033008738886565,-1.393488491885364e-05,-0.00497894873842597,-6.698051606690569e-07,1.423415142198792e-06,1.869786160568765e-06,,,,,,
0.026459647,,,,,,,,,,,-0.001829818356782198,1,0.006186442915350199,1,0.03841399028897285,1
0.029594624,0.005,-0.002707647392526269,-0.02046606875956059,-0.9955820441246033,-0.0001030518105835654,-1.234225510415854e-05,-0.004976192954927683,1.664261048972548e-06,-1.375721808472008e-06,9.378309755447845e-07,,,,,,
0.031431679,,,,,,,,,,,-0.003030793508514762,1,0.008625139482319355,1,0.04126894101500511,1
0.034449663,0.005,-0.002907846355810761,-0.02025741897523403,-0.9956948757171631,-0.0001001391719910316,-1.558390795253217e-05,-0.00497919786721468,-3.652761051853304e-06,2.925761918959324e-06,-1.461800707147631e-07,,,,,,
0.036398847,,,,,,,,,,,-0.0009897793643176556,1,0.006657617166638374,1,0.04016236960887909,1
0.039281920,0.005,-0.002891837852075696,-0.02017729543149471,-0.995567798614502,-0.0001002599456114694,-1.456313930248143e-05,-0.00497676944360137,-1.223755475621147e-06,-3.489594064376433e-06,2.951480837509735e-07,,,,,,
0.041361153,,,,,,,,,,,-0.0002112181100528687,1,0.006802836898714304,1,0.04140907153487206,1
0.044091135,0.005,-0.003014322835952044,-0.0201832689344883,-0.9958657622337341,-0.0001008815306704491,-1.59433238877682e-05,-0.004980751313269138,9.47736751299999e-08,-3.665758413262665e-06,5.116779448144371e-06,,,,,,
0.046318848,,,,,,,,,,,-0.0002556695253588259,1,0.005599119700491428,1,0.03848715499043465,1
0.048876289,0.005,-0.003313574707135558,-0.02032182924449444,-0.9956017136573792,-0.0001026791505864821,-1.858190080383793e-05,-0.00497685931622982,-1.962235728569794e-06,-4.432762125361478e-06,4.44213037553709e-06,,,,,,
0.051362302,,,,,,,,,,,-0.001584137673489749,1,0.002662981161847711,1,0.04107671603560448,1
0.054091264,0.005,-0.003684115596115589,-0.01991498470306396,-0.9956448078155518,-9.696208871901035e-05,-2.070746631943621e-05,-0.004977981559932232,1.99241026166419e-06,-5.643743861583062e-06,1.79204232608754e-06,,,,,,
0.056401152,,,,,,,,,,,0.00243871589191258,1,-0.0009689605794847012,1,0.04065318405628204,1
0.059283201,0.005,-0.004045049659907818,-0.01985351368784904,-0.9958376884460449,-9.891128866001964e-05,-2.243946801172569e-05,-0.004980766214430332,2.250527359137777e-06,2.803190284339507e-07,1.599378549599351e-07,,,,,,
0.061435390,,,,,,,,,,,0.00306776724755764,1,-0.004495604895055294,1,0.03876032307744026,1
0.064451069,0.005,-0.004213915672153234,-0.01968438923358917,-0.9953421354293823,-9.720681555336341e-05,-2.194102489738725e-05,-0.004973571747541428,2.010561502174824e-06,-3.911505700671114e-06,5.111739938001847e-06,,,,,,
0.066465281,,,,,,,,,,,0.004747248720377684,1,-0.006127174478024244,1,0.04361891746520996,1
