ts,utm_x,utm_y,z,utm_zone_n,utm_zone_l,heading,inx_x,inx_y,inx_z,inx_yaw
A88A2E5C00000000,D4A8A601,DA9FC633,F62D0000,12000000,4C000000,86140000,4DF8FFFF,A1790000,494EFFFF,47FEFFFF
0B8B2E5C00000000,ECA8A601,ED9FC633,F62D0000,12000000,4C000000,86140000,58F8FFFF,BD790000,2D4EFFFF,47FEFFFF
718B2E5C00000000,9709A701,FFE9C633,F62D0000,12000000,4C000000,86140000,27000000,34000000,08000000,47FEFFFF
D58B2E5C00000000,AF09A701,11EAC633,F62D0000,12000000,4C000000,86140000,32000000,50000000,EDFFFFFF,47FEFFFF
388C2E5C00000000,C709A701,23EAC633,F62D0000,12000000,4C000000,86140000,3E000000,6C000000,D1FFFFFF,47FEFFFF
9D8C2E5C00000000,DF09A701,36EAC633,F62D0000,12000000,4C000000,85140000,49000000,88000000,B5FFFFFF,46FEFFFF
008D2E5C00000000,F709A701,48EAC633,F62D0000,12000000,4C000000,85140000,55000000,A4000000,99FFFFFF,46FEFFFF
648D2E5C00000000,0F0AA701,5AEAC633,F62D0000,12000000,4C000000,85140000,60000000,C0000000,7DFFFFFF,46FEFFFF
C68D2E5C00000000,270AA701,6DEAC633,F62D0000,12000000,4C000000,85140000,6B000000,DC000000,61FFFFFF,46FEFFFF
2C8E2E5C00000000,3F0AA701,7FEAC633,F62D0000,12000000,4C000000,85140000,76000000,F8000000,45FFFFFF,46FEFFFF
938E2E5C00000000,570AA701,91EAC633,F62D0000,12000000,4C000000,85140000,82000000,14010000,29FFFFFF,46FEFFFF
F58E2E5C00000000,6F0AA701,A4EAC633,F62D0000,12000000,4C000000,84140000,8D000000,30010000,0DFFFFFF,45FEFFFF
588F2E5C00000000,870AA701,B6EAC633,F62D0000,12000000,4C000000,84140000,99000000,4C010000,F1FEFFFF,45FEFFFF
BF8F2E5C00000000,9F0AA701,C9EAC633,F62D0000,12000000,4C000000,84140000,A5000000,68010000,D5FEFFFF,45FEFFFF
21902E5C00000000,B70AA701,DBEAC633,F62D0000,12000000,4C000000,84140000,B0000000,84010000,B9FEFFFF,45FEFFFF
