ts,utm_x,utm_y,z,utm_zone_n,utm_zone_l,heading,inx_x,inx_y,inx_z,inx_yaw
F66F0A5C00000000,DBA8A601,E09FC633,F62D0000,12000000,4C000000,85140000,46000000,48000000,48000000,A0D0FFFF
5A700A5C00000000,F9A8A601,F79FC633,F62D0000,12000000,4C000000,85140000,61000000,64000000,64000000,A0D0FFFF
C0700A5C00000000,18A9A601,0FA0C633,F62D0000,12000000,4C000000,85140000,7C000000,80000000,80000000,A0D0FFFF
22710A5C00000000,37A9A601,26A0C633,F62D0000,12000000,4C000000,85140000,97000000,9C000000,9C000000,A0D0FFFF
85710A5C00000000,56A9A601,3EA0C633,F62D0000,12000000,4C000000,85140000,B2000000,B8000000,B8000000,A0D0FFFF
EC710A5C00000000,75A9A601,56A0C633,F62D0000,12000000,4C000000,84140000,CD000000,D4000000,D4000000,9FD0FFFF
4F720A5C00000000,94A9A601,6DA0C633,F62D0000,12000000,4C000000,84140000,E8000000,F0000000,F0000000,9FD0FFFF
B4720A5C00000000,B2A9A601,85A0C633,F62D0000,12000000,4C000000,84140000,03010000,0C010000,0C010000,9FD0FFFF
18730A5C00000000,D1A9A601,9CA0C633,F62D0000,12000000,4C000000,84140000,1D010000,28010000,28010000,9FD0FFFF
7B730A5C00000000,F0A9A601,B4A0C633,F62D0000,12000000,4C000000,83140000,38010000,44010000,44010000,9ED0FFFF
E1730A5C00000000,0FAAA601,CCA0C633,F62D0000,12000000,4C000000,83140000,53010000,60010000,60010000,9ED0FFFF
43740A5C00000000,2DAAA601,E3A0C633,F62D0000,12000000,4C000000,83140000,6E010000,7C010000,7C010000,9ED0FFFF
A7740A5C00000000,4CAAA601,FBA0C633,F62D0000,12000000,4C000000,83140000,89010000,98010000,98010000,9ED0FFFF
0D750A5C00000000,6BAAA601,12A1C633,F62D0000,12000000,4C000000,83140000,A4010000,B4010000,B4010000,9ED0FFFF
70750A5C00000000,8AAAA601,2AA1C633,F62D0000,12000000,4C000000,83140000,BF010000,D0010000,D0010000,9ED0FFFF
D5750A5C00000000,A8AAA601,42A1C633,F62D0000,12000000,4C000000,82140000,D9010000,EC010000,EC010000,9DD0FFFF
39760A5C00000000,C7AAA601,59A1C633,F62D0000,12000000,4C000000,82140000,F4010000,08020000,08020000,9DD0FFFF
9C760A5C00000000,E6AAA601,71A1C633,F62D0000,12000000,4C000000,82140000,0F020000,24020000,24020000,9DD0FFFF
02770A5C00000000,05ABA601,88A1C633,F62D0000,12000000,4C000000,82140000,2A020000,40020000,40020000,9DD0FFFF
