ts,utm_x,utm_y,z,utm_zone_n,utm_zone_l,heading,inx_x,inx_y,inx_z,inx_yaw
1F4B405C00000000,C8AFA601,E491C633,7A2E0000,12000000,4C000000,00870000,B4530000,F011FFFF,EECBFEFF,84D7FFFF
814B405C00000000,BEAFA601,0A92C633,7A2E0000,12000000,4C000000,00870000,D0530000,D411FFFF,D2CBFEFF,84D7FFFF
E74B405C00000000,F070A601,A486C733,7A2E0000,12000000,4C000000,00870000,23000000,18000000,18000000,84D7FFFF
4B4C405C00000000,E770A601,CA86C733,7A2E0000,12000000,4C000000,FF860000,3F000000,FEFFFFFF,FDFFFFFF,83D7FFFF
B04C405C00000000,DD70A601,F086C733,7A2E0000,12000000,4C000000,FF860000,5B000000,E2FFFFFF,E2FFFFFF,83D7FFFF
144D405C00000000,D370A601,1687C733,7A2E0000,12000000,4C000000,FF860000,77000000,C7FFFFFF,C5FFFFFF,83D7FFFF
774D405C00000000,C970A601,3C87C733,7A2E0000,12000000,4C000000,FE860000,93000000,ABFFFFFF,A9FFFFFF,82D7FFFF
DC4D405C00000000,C070A601,6287C733,7A2E0000,12000000,4C000000,FE860000,AF000000,90FFFFFF,8EFFFFFF,82D7FFFF
404E405C00000000,B670A601,8887C733,7A2E0000,12000000,4C000000,FE860000,CB000000,74FFFFFF,72FFFFFF,82D7FFFF
A24E405C00000000,AC70A601,AE87C733,7A2E0000,12000000,4C000000,FE860000,E7000000,58FFFFFF,55FFFFFF,82D7FFFF
094F405C00000000,A270A601,D487C733,7A2E0000,12000000,4C000000,FD860000,03010000,3DFFFFFF,39FFFFFF,81D7FFFF
6C4F405C00000000,9870A601,FA87C733,7A2E0000,12000000,4C000000,FE860000,1F010000,21FFFFFF,1DFFFFFF,82D7FFFF
D24F405C00000000,8F70A601,2088C733,7A2E0000,12000000,4C000000,FE860000,3B010000,06FFFFFF,01FFFFFF,82D7FFFF
3550405C00000000,8570A601,4688C733,7A2E0000,12000000,4C000000,FD860000,56010000,EAFEFFFF,E5FEFFFF,81D7FFFF
9850405C00000000,7B70A601,6C88C733,7A2E0000,12000000,4C000000,FD860000,72010000,CFFEFFFF,C9FEFFFF,81D7FFFF
FE50405C00000000,7170A601,9288C733,7A2E0000,12000000,4C000000,FD860000,8E010000,B3FEFFFF,AEFEFFFF,81D7FFFF
6051405C00000000,6870A601,B888C733,7A2E0000,12000000,4C000000,FD860000,AA010000,97FEFFFF,92FEFFFF,81D7FFFF
C551405C00000000,5E70A601,DE88C733,7A2E0000,12000000,4C000000,FC860000,C6010000,7CFEFFFF,76FEFFFF,80D7FFFF
2A52405C00000000,5470A601,0489C733,7A2E0000,12000000,4C000000,FC860000,E2010000,60FEFFFF,5AFEFFFF,80D7FFFF
8D52405C00000000,4A70A601,2A89C733,7A2E0000,12000000,4C000000,FC860000,FE010000,45FEFFFF,3EFEFFFF,80D7FFFF
F352405C00000000,4070A601,5089C733,7A2E0000,12000000,4C000000,FC860000,1A020000,29FEFFFF,22FEFFFF,80D7FFFF
5553405C00000000,3770A601,7689C733,7A2E0000,12000000,4C000000,FB860000,36020000,0EFEFFFF,06FEFFFF,7FD7FFFF
B953405C00000000,2D70A601,9C89C733,7A2E0000,12000000,4C000000,FB860000,52020000,F2FDFFFF,EAFDFFFF,7FD7FFFF
