ts,utm_x,utm_y,z,utm_zone_n,utm_zone_l,heading,inx_x,inx_y,inx_z,inx_yaw
7898345C00000000,C9AFA601,DF91C633,7A2E0000,12000000,4C000000,00870000,E7FFFFFF,47000000,E7FFFFFF,64DDFFFF
DD98345C00000000,C0AFA601,0192C633,7A2E0000,12000000,4C000000,00870000,CBFFFFFF,5C000000,CBFFFFFF,64DDFFFF
4099345C00000000,B8AFA601,2392C633,7A2E0000,12000000,4C000000,FF860000,AFFFFFFF,70000000,AFFFFFFF,63DDFFFF
A399345C00000000,AFAFA601,4492C633,7A2E0000,12000000,4C000000,FF860000,93FFFFFF,85000000,93FFFFFF,63DDFFFF
0A9A345C00000000,A6AFA601,6692C633,7A2E0000,12000000,4C000000,FF860000,77FFFFFF,9A000000,77FFFFFF,63DDFFFF
6C9A345C00000000,9EAFA601,8892C633,7A2E0000,12000000,4C000000,FF860000,5BFFFFFF,AF000000,5BFFFFFF,63DDFFFF
CF9A345C00000000,95AFA601,A992C633,7A2E0000,12000000,4C000000,FF860000,3FFFFFFF,C3000000,3FFFFFFF,63DDFFFF
369B345C00000000,8CAFA601,CB92C633,7A2E0000,12000000,4C000000,FE860000,23FFFFFF,D8000000,23FFFFFF,62DDFFFF
999B345C00000000,84AFA601,ED92C633,7A2E0000,12000000,4C000000,FE860000,07FFFFFF,EC000000,07FFFFFF,62DDFFFF
FE9B345C00000000,7BAFA601,0E93C633,7A2E0000,12000000,4C000000,FE860000,EBFEFFFF,01010000,EBFEFFFF,62DDFFFF
619C345C00000000,72AFA601,3093C633,7A2E0000,12000000,4C000000,FE860000,CFFEFFFF,15010000,CFFEFFFF,62DDFFFF
C59C345C00000000,6AAFA601,5293C633,7A2E0000,12000000,4C000000,FE860000,B3FEFFFF,2A010000,B3FEFFFF,62DDFFFF
2A9D345C00000000,61AFA601,7493C633,7A2E0000,12000000,4C000000,FD860000,97FEFFFF,3F010000,97FEFFFF,61DDFFFF
8D9D345C00000000,58AFA601,9593C633,7A2E0000,12000000,4C000000,FD860000,7BFEFFFF,53010000,7BFEFFFF,61DDFFFF
F49D345C00000000,50AFA601,B793C633,7A2E0000,12000000,4C000000,FD860000,5FFEFFFF,68010000,5FFEFFFF,61DDFFFF
569E345C00000000,47AFA601,D893C633,7A2E0000,12000000,4C000000,FD860000,43FEFFFF,7C010000,43FEFFFF,61DDFFFF
B99E345C00000000,3EAFA601,FA93C633,7A2E0000,12000000,4C000000,FD860000,27FEFFFF,91010000,27FEFFFF,61DDFFFF
209F345C00000000,36AFA601,1C94C633,7A2E0000,12000000,4C000000,FD860000,0BFEFFFF,A5010000,0BFEFFFF,61DDFFFF
829F345C00000000,2DAFA601,3D94C633,7A2E0000,12000000,4C000000,FD860000,EFFDFFFF,BA010000,EFFDFFFF,61DDFFFF
E59F345C00000000,25AFA601,5F94C633,7A2E0000,12000000,4C000000,FD860000,D3FDFFFF,CE010000,D3FDFFFF,61DDFFFF
4CA0345C00000000,1CAFA601,8094C633,7A2E0000,12000000,4C000000,FC860000,B7FDFFFF,E3010000,B7FDFFFF,60DDFFFF
AEA0345C00000000,13AFA601,A294C633,7A2E0000,12000000,4C000000,FC860000,9BFDFFFF,F7010000,9BFDFFFF,60DDFFFF
14A1345C00000000,0AAFA601,C494C633,7A2E0000,12000000,4C000000,FC860000,7FFDFFFF,0C020000,7FFDFFFF,60DDFFFF
77A1345C00000000,02AFA601,E594C633,7A2E0000,12000000,4C000000,FC860000,63FDFFFF,21020000,63FDFFFF,60DDFFFF
DAA1345C00000000,F9AEA601,0795C633,7A2E0000,12000000,4C000000,FC860000,47FDFFFF,35020000,47FDFFFF,60DDFFFF
41A2345C00000000,F1AEA601,2895C633,7A2E0000,12000000,4C000000,FC860000,2BFDFFFF,49020000,2BFDFFFF,60DDFFFF
A3A2345C00000000,E8AEA601,4A95C633,7A2E0000,12000000,4C000000,FB860000,0FFDFFFF,5E020000,0FFDFFFF,5FDDFFFF
09A3345C00000000,DFAEA601,6C95C633,7A2E0000,12000000,4C000000,FB860000,F3FCFFFF,72020000,F3FCFFFF,5FDDFFFF
6DA3345C00000000,D7AEA601,8D95C633,7A2E0000,12000000,4C000000,FB860000,D7FCFFFF,87020000,D7FCFFFF,5FDDFFFF
D0A3345C00000000,CEAEA601,AF95C633,7A2E0000,12000000,4C000000,FB860000,BBFCFFFF,9B020000,BBFCFFFF,5FDDFFFF
33A4345C00000000,C5AEA601,D195C633,7A2E0000,12000000,4C000000,FB860000,9FFCFFFF,B0020000,9FFCFFFF,5FDDFFFF
99A4345C00000000,BDAEA601,F295C633,7A2E0000,12000000,4C000000,FA860000,83FCFFFF,C5020000,83FCFFFF,5EDDFFFF
FCA4345C00000000,B4AEA601,1496C633,7A2E0000,12000000,4C000000,FB860000,67FCFFFF,D9020000,67FCFFFF,5FDDFFFF
61A5345C00000000,ABAEA601,3596C633,7A2E0000,12000000,4C000000,FA860000,4BFCFFFF,EE020000,4BFCFFFF,5EDDFFFF
C5A5345C00000000,A3AEA601,5796C633,7A2E0000,12000000,4C000000,FA860000,2FFCFFFF,02030000,30FCFFFF,5EDDFFFF
2BA6345C00000000,9AAEA601,7896C633,7A2E0000,12000000,4C000000,FA860000,13FCFFFF,16030000,13FCFFFF,5EDDFFFF
8DA6345C00000000,91AEA601,9A96C633,7A2E0000,12000000,4C000000,FA860000,F7FBFFFF,2B030000,F7FBFFFF,5EDDFFFF
