ts,utm_x,utm_y,z,utm_zone_n,utm_zone_l,heading,inx_x,inx_y,inx_z,inx_yaw
9EE0485C00000000,489EA601,F0D6C633,592D0000,12000000,4C000000,6F860000,050D0000,00F8FFFF,30110000,49FEFFFF
04E1485C00000000,409EA601,0ED7C633,592D0000,12000000,4C000000,66860000,210D0000,F4F7FFFF,4C110000,40FEFFFF
67E1485C00000000,379EA601,2BD7C633,592D0000,12000000,4C000000,60860000,3D0D0000,E7F7FFFF,68110000,3AFEFFFF
CDE1485C00000000,2F9EA601,49D7C633,592D0000,12000000,4C000000,5A860000,590D0000,DBF7FFFF,83110000,34FEFFFF
30E2485C00000000,269EA601,66D7C633,592D0000,12000000,4C000000,55860000,750D0000,CEF7FFFF,9F110000,2FFEFFFF
93E2485C00000000,1E9EA601,83D7C633,592D0000,12000000,4C000000,54860000,900D0000,C2F7FFFF,BA110000,2EFEFFFF
F7E2485C00000000,159EA601,A1D7C633,592D0000,12000000,4C000000,4C860000,AC0D0000,B5F7FFFF,D6110000,26FEFFFF
5CE3485C00000000,0D9EA601,BED7C633,592D0000,12000000,4C000000,43860000,C80D0000,A8F7FFFF,F1110000,1DFEFFFF
C2E3485C00000000,049EA601,DBD7C633,592D0000,12000000,4C000000,3D860000,E40D0000,9CF7FFFF,0D120000,17FEFFFF
25E4485C00000000,FC9DA601,F8D7C633,592D0000,12000000,4C000000,36860000,FF0D0000,8FF7FFFF,28120000,10FEFFFF
88E4485C00000000,F39DA601,15D8C633,592D0000,12000000,4C000000,30860000,1A0E0000,83F7FFFF,43120000,0AFEFFFF
EEE4485C00000000,EB9DA601,31D8C633,592D0000,12000000,4C000000,2A860000,350E0000,77F7FFFF,5E120000,04FEFFFF
51E5485C00000000,E29DA601,4ED8C633,592D0000,12000000,4C000000,23860000,510E0000,69F7FFFF,79120000,FDFDFFFF
B4E5485C00000000,D99DA601,6BD8C633,592D0000,12000000,4C000000,1D860000,6B0E0000,5DF7FFFF,94120000,F7FDFFFF
1AE6485C00000000,D19DA601,87D8C633,592D0000,12000000,4C000000,14860000,860E0000,50F7FFFF,AF120000,EEFDFFFF
7DE6485C00000000,C89DA601,A3D8C633,592D0000,12000000,4C000000,0D860000,A10E0000,43F7FFFF,CA120000,E7FDFFFF
E3E6485C00000000,C09DA601,BFD8C633,592D0000,12000000,4C000000,08860000,BB0E0000,37F7FFFF,E5120000,E2FDFFFF
46E7485C00000000,B79DA601,DBD8C633,592D0000,12000000,4C000000,00860000,D50E0000,2AF7FFFF,00130000,DAFDFFFF
A9E7485C00000000,AF9DA601,F7D8C633,592D0000,12000000,4C000000,F9850000,EF0E0000,1DF7FFFF,1B130000,D3FDFFFF
0FE8485C00000000,A69DA601,13D9C633,592D0000,12000000,4C000000,EF850000,090F0000,10F7FFFF,36130000,C9FDFFFF
72E8485C00000000,9E9DA601,2ED9C633,592D0000,12000000,4C000000,E7850000,240F0000,03F7FFFF,50130000,C1FDFFFF
D8E8485C00000000,959DA601,4AD9C633,592D0000,12000000,4C000000,E3850000,3D0F0000,F7F6FFFF,6B130000,BDFDFFFF
3BE9485C00000000,8D9DA601,65D9C633,592D0000,12000000,4C000000,E1850000,570F0000,EAF6FFFF,86130000,BBFDFFFF
9EE9485C00000000,849DA601,81D9C633,592D0000,12000000,4C000000,E1850000,710F0000,DCF6FFFF,A1130000,BBFDFFFF
04EA485C00000000,7C9DA601,9CD9C633,592D0000,12000000,4C000000,E7850000,8A0F0000,D0F6FFFF,BC130000,C1FDFFFF
67EA485C00000000,739DA601,B7D9C633,592D0000,12000000,4C000000,EC850000,A40F0000,C3F6FFFF,D6130000,C6FDFFFF
CAEA485C00000000,6B9DA601,D2D9C633,592D0000,12000000,4C000000,F0850000,BD0F0000,B7F6FFFF,F1130000,CAFDFFFF
30EB485C00000000,639DA601,EDD9C633,592D0000,12000000,4C000000,F9850000,D60F0000,AAF6FFFF,0C140000,D3FDFFFF
93EB485C00000000,5B9DA601,08DAC633,592D0000,12000000,4C000000,FF850000,EF0F0000,9EF6FFFF,27140000,D9FDFFFF
F9EB485C00000000,539DA601,22DAC633,592D0000,12000000,4C000000,03860000,08100000,91F6FFFF,41140000,DDFDFFFF
5CEC485C00000000,4B9DA601,3CDAC633,592D0000,12000000,4C000000,08860000,20100000,85F6FFFF,5C140000,E2FDFFFF
BFEC485C00000000,439DA601,55DAC633,592D0000,12000000,4C000000,0C860000,37100000,79F6FFFF,76140000,E6FDFFFF
25ED485C00000000,3C9DA601,6DDAC633,592D0000,12000000,4C000000,11860000,4D100000,6DF6FFFF,91140000,EBFDFFFF
88ED485C00000000,359DA601,85DAC633,592D0000,12000000,4C000000,16860000,63100000,61F6FFFF,AB140000,F0FDFFFF
EEED485C00000000,2E9DA601,9BDAC633,592D0000,12000000,4C000000,1C860000,77100000,56F6FFFF,C5140000,F6FDFFFF
51EE485C00000000,279DA601,B1DAC633,592D0000,12000000,4C000000,20860000,8B100000,4AF6FFFF,E0140000,FAFDFFFF
B4EE485C00000000,219DA601,C6DAC633,592D0000,12000000,4C000000,24860000,9D100000,3EF6FFFF,FA140000,FEFDFFFF
1AEF485C00000000,1B9DA601,DADAC633,592D0000,12000000,4C000000,29860000,AF100000,32F6FFFF,14150000,03FEFFFF
7DEF485C00000000,169DA601,EDDAC633,592D0000,12000000,4C000000,2E860000,BF100000,27F6FFFF,2E150000,08FEFFFF
E0EF485C00000000,109DA601,FEDAC633,592D0000,12000000,4C000000,34860000,CD100000,1CF6FFFF,48150000,0EFEFFFF
46F0485C00000000,0C9DA601,0FDBC633,592D0000,12000000,4C000000,38860000,DA100000,10F6FFFF,62150000,12FEFFFF
A9F0485C00000000,079DA601,1EDBC633,592D0000,12000000,4C000000,3E860000,E6100000,05F6FFFF,7C150000,18FEFFFF
0FF1485C00000000,039DA601,2DDBC633,592D0000,12000000,4C000000,44860000,F0100000,FBF5FFFF,95150000,1EFEFFFF
73F1485C00000000,FF9CA601,3BDBC633,592D0000,12000000,4C000000,4B860000,FA100000,F0F5FFFF,AF150000,25FEFFFF
D5F1485C00000000,FB9CA601,48DBC633,592D0000,12000000,4C000000,52860000,02110000,E5F5FFFF,C8150000,2CFEFFFF
