ts,utm_x,utm_y,z,utm_zone_n,utm_zone_l,heading,inx_x,inx_y,inx_z,inx_yaw
04B5215C00000000,CBA8A601,D39FC633,F62D0000,12000000,4C000000,85140000,31000000,2E000000,1D000000,B6FFFFFF
69B5215C00000000,DAA8A601,DF9FC633,F62D0000,12000000,4C000000,85140000,3F000000,3A000000,1D000000,B6FFFFFF
CCB5215C00000000,E8A8A601,EA9FC633,F62D0000,12000000,4C000000,85140000,4D000000,45000000,1C000000,B6FFFFFF
2FB6215C00000000,F7A8A601,F59FC633,F62D0000,12000000,4C000000,85140000,5B000000,52000000,1C000000,B6FFFFFF
96B6215C00000000,06A9A601,01A0C633,F62D0000,12000000,4C000000,85140000,6A000000,5E000000,1B000000,B6FFFFFF
F8B6215C00000000,15A9A601,0CA0C633,F62D0000,12000000,4C000000,85140000,78000000,69000000,1B000000,B6FFFFFF
5FB7215C00000000,24A9A601,18A0C633,F62D0000,12000000,4C000000,85140000,87000000,76000000,1A000000,B6FFFFFF
C2B7215C00000000,33A9A601,23A0C633,F62D0000,12000000,4C000000,85140000,95000000,81000000,1A000000,B6FFFFFF
27B8215C00000000,42A9A601,2EA0C633,F62D0000,12000000,4C000000,84140000,A3000000,8E000000,19000000,B5FFFFFF
8BB8215C00000000,50A9A601,3AA0C633,F62D0000,12000000,4C000000,84140000,B2000000,9A000000,19000000,B5FFFFFF
EEB8215C00000000,5FA9A601,45A0C633,F62D0000,12000000,4C000000,84140000,C0000000,A6000000,18000000,B5FFFFFF
53B9215C00000000,6FA9A601,51A0C633,F62D0000,12000000,4C000000,84140000,CF000000,B2000000,18000000,B5FFFFFF
B6B9215C00000000,7EA9A601,5DA0C633,F62D0000,12000000,4C000000,84140000,DE000000,BE000000,17000000,B5FFFFFF
19BA215C00000000,8DA9A601,68A0C633,F62D0000,12000000,4C000000,84140000,EC000000,CB000000,17000000,B5FFFFFF
80BA215C00000000,9CA9A601,74A0C633,F62D0000,12000000,4C000000,83140000,FB000000,D7000000,16000000,B4FFFFFF
E3BA215C00000000,ABA9A601,7FA0C633,F62D0000,12000000,4C000000,83140000,09010000,E3000000,16000000,B4FFFFFF
46BB215C00000000,BAA9A601,8BA0C633,F62D0000,12000000,4C000000,83140000,18010000,EF000000,15000000,B4FFFFFF
ABBB215C00000000,C9A9A601,96A0C633,F62D0000,12000000,4C000000,83140000,26010000,FB000000,15000000,B4FFFFFF
0EBC215C00000000,D8A9A601,A2A0C633,F62D0000,12000000,4C000000,83140000,35010000,07010000,14000000,B4FFFFFF
75BC215C00000000,E7A9A601,ADA0C633,F62D0000,12000000,4C000000,83140000,44010000,13010000,14000000,B4FFFFFF
D8BC215C00000000,F6A9A601,B9A0C633,F62D0000,12000000,4C000000,83140000,52010000,1F010000,13000000,B4FFFFFF
3DBD215C00000000,05AAA601,C5A0C633,F62D0000,12000000,4C000000,83140000,61010000,2C010000,12000000,B4FFFFFF
A1BD215C00000000,15AAA601,D0A0C633,F62D0000,12000000,4C000000,82140000,70010000,38010000,12000000,B3FFFFFF
04BE215C00000000,24AAA601,DCA0C633,F62D0000,12000000,4C000000,82140000,7E010000,44010000,11000000,B3FFFFFF
69BE215C00000000,33AAA601,E8A0C633,F62D0000,12000000,4C000000,82140000,8E010000,51010000,11000000,B3FFFFFF
CDBE215C00000000,43AAA601,F4A0C633,F62D0000,12000000,4C000000,82140000,9C010000,5D010000,10000000,B3FFFFFF
30BF215C00000000,52AAA601,FFA0C633,F62D0000,12000000,4C000000,82140000,AC010000,69010000,10000000,B3FFFFFF
95BF215C00000000,61AAA601,0BA1C633,F62D0000,12000000,4C000000,82140000,BA010000,75010000,0F000000,B3FFFFFF
F8BF215C00000000,70AAA601,17A1C633,F62D0000,12000000,4C000000,82140000,C9010000,82010000,0E000000,B3FFFFFF
5CC0215C00000000,80AAA601,23A1C633,F62D0000,12000000,4C000000,81140000,D8010000,8E010000,0E000000,B2FFFFFF
C1C0215C00000000,8FAAA601,2EA1C633,F62D0000,12000000,4C000000,81140000,E7010000,9A010000,0D000000,B2FFFFFF
25C1215C00000000,9EAAA601,3AA1C633,F62D0000,12000000,4C000000,81140000,F5010000,A6010000,0D000000,B2FFFFFF
8BC1215C00000000,AEAAA601,46A1C633,F62D0000,12000000,4C000000,81140000,04020000,B3010000,0C000000,B2FFFFFF
EDC1215C00000000,BDAAA601,51A1C633,F62D0000,12000000,4C000000,81140000,13020000,BF010000,0C000000,B2FFFFFF
53C2215C00000000,CCAAA601,5DA1C633,F62D0000,12000000,4C000000,81140000,22020000,CB010000,0B000000,B2FFFFFF
B6C2215C00000000,DCAAA601,69A1C633,F62D0000,12000000,4C000000,81140000,31020000,D8010000,0A000000,B2FFFFFF
1AC3215C00000000,EBAAA601,75A1C633,F62D0000,12000000,4C000000,80140000,40020000,E4010000,0A000000,B1FFFFFF
7FC3215C00000000,FBAAA601,81A1C633,F62D0000,12000000,4C000000,80140000,4F020000,F1010000,09000000,B1FFFFFF
E2C3215C00000000,0AABA601,8DA1C633,F62D0000,12000000,4C000000,80140000,5F020000,FD010000,09000000,B1FFFFFF
46C4215C00000000,1AABA601,99A1C633,F62D0000,12000000,4C000000,80140000,6E020000,0A020000,08000000,B1FFFFFF
ACC4215C00000000,29ABA601,A5A1C633,F62D0000,12000000,4C000000,80140000,7D020000,16020000,08000000,B1FFFFFF
0FC5215C00000000,39ABA601,B0A1C633,F62D0000,12000000,4C000000,80140000,8B020000,22020000,07000000,B1FFFFFF
72C5215C00000000,48ABA601,BCA1C633,F62D0000,12000000,4C000000,7F140000,9B020000,2F020000,06000000,B0FFFFFF
D7C5215C00000000,58ABA601,C8A1C633,F62D0000,12000000,4C000000,7F140000,AA020000,3B020000,06000000,B0FFFFFF
3AC6215C00000000,67ABA601,D4A1C633,F62D0000,12000000,4C000000,7F140000,B8020000,47020000,05000000,B0FFFFFF
A1C6215C00000000,77ABA601,E0A1C633,F62D0000,12000000,4C000000,7F140000,C8020000,54020000,05000000,B0FFFFFF
04C7215C00000000,86ABA601,ECA1C633,F62D0000,12000000,4C000000,7F140000,D7020000,61020000,04000000,B0FFFFFF
69C7215C00000000,96ABA601,F8A1C633,F62D0000,12000000,4C000000,7F140000,E6020000,6D020000,03000000,B0FFFFFF
CCC7215C00000000,A5ABA601,04A2C633,F62D0000,12000000,4C000000,7F140000,F5020000,7A020000,03000000,B0FFFFFF
2FC8215C00000000,B4ABA601,10A2C633,F62D0000,12000000,4C000000,7F140000,04030000,86020000,02000000,B0FFFFFF
96C8215C00000000,C5ABA601,1CA2C633,F62D0000,12000000,4C000000,7F140000,14030000,93020000,01000000,B0FFFFFF
F9C8215C00000000,D4ABA601,28A2C633,F62D0000,12000000,4C000000,7E140000,23030000,A0020000,01000000,AFFFFFFF
5BC9215C00000000,E4ABA601,34A2C633,F62D0000,12000000,4C000000,7E140000,32030000,AC020000,00000000,AFFFFFFF
C2C9215C00000000,F4ABA601,40A2C633,F62D0000,12000000,4C000000,7E140000,41030000,B9020000,00000000,AFFFFFFF
25CA215C00000000,03ACA601,4CA2C633,F62D0000,12000000,4C000000,7E140000,50030000,C6020000,00000000,AFFFFFFF
8ACA215C00000000,13ACA601,58A2C633,F62D0000,12000000,4C000000,7E140000,60030000,D2020000,FFFFFFFF,AFFFFFFF
EECA215C00000000,23ACA601,64A2C633,F62D0000,12000000,4C000000,7E140000,6F030000,DF020000,FFFFFFFF,AFFFFFFF
51CB215C00000000,32ACA601,70A2C633,F62D0000,12000000,4C000000,7E140000,7E030000,EC020000,FEFFFFFF,AFFFFFFF
B3CB215C00000000,42ACA601,7CA2C633,F62D0000,12000000,4C000000,7E140000,8D030000,F9020000,FDFFFFFF,AFFFFFFF
1ACC215C00000000,52ACA601,88A2C633,F62D0000,12000000,4C000000,7E140000,9C030000,05030000,FDFFFFFF,AFFFFFFF
80CC215C00000000,62ACA601,95A2C633,F62D0000,12000000,4C000000,7D140000,AB030000,12030000,FCFFFFFF,AEFFFFFF
E0CC215C00000000,71ACA601,A1A2C633,F62D0000,12000000,4C000000,7D140000,BA030000,1F030000,FCFFFFFF,AEFFFFFF
45CD215C00000000,81ACA601,ADA2C633,F62D0000,12000000,4C000000,7D140000,C9030000,2B030000,FBFFFFFF,AEFFFFFF
ACCD215C00000000,91ACA601,B9A2C633,F62D0000,12000000,4C000000,7D140000,D9030000,38030000,FBFFFFFF,AEFFFFFF
0FCE215C00000000,A1ACA601,C5A2C633,F62D0000,12000000,4C000000,7D140000,E8030000,45030000,FAFFFFFF,AEFFFFFF
71CE215C00000000,B1ACA601,D1A2C633,F62D0000,12000000,4C000000,7D140000,F7030000,52030000,F9FFFFFF,AEFFFFFF
D8CE215C00000000,C0ACA601,DEA2C633,F62D0000,12000000,4C000000,7D140000,07040000,5F030000,F9FFFFFF,AEFFFFFF
3BCF215C00000000,D0ACA601,E9A2C633,F62D0000,12000000,4C000000,7C140000,16040000,6C030000,F8FFFFFF,ADFFFFFF
9DCF215C00000000,E0ACA601,F6A2C633,F62D0000,12000000,4C000000,7C140000,25040000,79030000,F7FFFFFF,ADFFFFFF
04D0215C00000000,F0ACA601,02A3C633,F62D0000,12000000,4C000000,7C140000,34040000,86030000,F7FFFFFF,ADFFFFFF
67D0215C00000000,00ADA601,0EA3C633,F62D0000,12000000,4C000000,7C140000,44040000,93030000,F6FFFFFF,ADFFFFFF
